Date,Price,Bid,Bid1,AI Predictions,Gain,ave1,ave3,ave5,ave7,ave15,ave30,ave90,sum1,sum3,sum5,sum7,sum15,sum30,sum90,sumsum,rsi1,rsi3,rsi5,rsi7,rsi15,rsi30,rsi90,Sma,Ema,Upperbound,Lowerbound
01-24-2021,32135.96,Neutral,Neutral,Neutral,-9050700.0,-9050700.0,-11336400.0,-9047400.000000011,-5548928.571428572,-5653306.666666667,2800813.3333333335,2121074.4444444445,-9050700.0,-34009200.0,-45237000.00000006,-38842500.0,-84799600.0,84024400.0,190896700.0,-127914600.00000006,47.509074541558114,45.08890435262338,51.970037071513836,58.483143648043,80.55742088487972,99.99796018691222,99.99998572446827,36021.81649999999,31089.017779844133,32800.59222272778,109.15117727220786
01-23-2021,33041.03,Neutral,Neutral,Neutral,21698900.0,21698900.0,-9998533.333333313,-5668640.0,-5408471.428571428,-4250140.0,3269500.0,2214113.3333333335,21698900.0,-29995599.99999994,-28343200.0,-37859300.0,-63752100.0,98085000.0,199270200.0,-40166299.99999994,49.677109223833604,49.622314210453865,57.815482362999894,63.01036349810529,87.94770851920485,99.99785665992992,99.99998475010474,36067.530999999995,31035.32843522076,32564.02903656329,119.04476343669194
01-22-2021,30871.14,Neutral,Neutral,Neutral,-46657400.0,-46657400.0,-19295066.666666687,-10298140.0,-11890857.142857144,-3994220.0,2350493.3333333335,1992660.0,-46657400.0,-57885200.00000006,-51490700.0,-83236000.0,-59913300.0,70514800.0,179339400.0,-228667800.00000006,43.98658069851779,54.07506966246058,61.863769959800386,67.75758524042237,93.96554574792222,99.99773188092281,99.99998366971157,36025.481999999996,30932.471944719262,32297.61388085622,159.0496191437669
01-21-2021,35536.88,Neutral,Neutral,Neutral,-5037099.99999994,-5037099.99999994,-1128233.3333333333,-2580160.0,-2607542.8571428657,1008140.0,4275246.666666667,2505181.111111111,-5037099.99999994,-3384700.0,-12900800.0,-18252800.00000006,15122100.0,128257400.0,225466300.0,103804100.0,56.81404698773687,64.43619757964022,70.14985126375271,80.07362094361687,99.93270478929794,99.9976401693199,99.9999826420199,35951.161499999995,30935.617172653587,32080.684705913176,171.26739408680623
01-20-2021,36040.59,Neutral,Neutral,Neutral,-6190700.000000119,-6190700.000000119,67933.33333331347,-6308300.000000012,2831699.9999999916,2673359.999999996,4187439.999999998,2579407.777777777,-6190700.000000119,203799.9999999404,-31541500.00000006,19821899.99999994,40100399.99999994,125623199.99999994,232146699.99999994,148017099.99999958,58.52499745893736,65.11360452519284,72.40612225883751,83.1512436573184,99.93168807322562,99.99746719669893,99.99998126567161,35622.079999999994,30699.654976379414,31734.58999804833,266.9933019516575
01-19-2021,36659.66,Neutral,Neutral,Neutral,7843100.00000006,7843100.00000006,-557666.6666666468,-1405000.0,1738385.7142857227,2406273.333333337,4274030.000000002,2748653.333333334,7843100.00000006,-1672999.9999999404,-7025000.0,12168700.00000006,36094100.00000006,128220900.00000006,247378800.00000006,175628800.0000003,60.60798195653738,65.09308673888043,78.10974430743138,82.47189620789128,99.92904852957889,99.99728628640904,99.9999797289255,35263.375499999995,30425.760872604,31365.75903856548,380.4183614345093
01-18-2021,35875.35,Neutral,Neutral,Neutral,-1448600.0,-1448600.0,-11064633.333333334,3633900.0,-3378471.4285714286,2450200.0,4243486.666666667,2680557.777777778,-1448600.0,-33193900.0,18169500.0,-23649300.0,36753000.0,127304600.0,241250200.0,123935300.0,58.886541703932174,65.38622177127462,79.40332474605316,82.05954062507206,99.92668068303905,99.99708923807037,99.99997793823947,34797.29349999999,30106.073737865747,30971.659956269883,502.32184373010205
01-17-2021,36020.21,Neutral,Neutral,Neutral,-8067500.0,-8067500.0,-4473166.666666687,1154840.0,-5943028.571428572,4423653.333333333,4407713.333333333,2723958.888888889,-8067500.0,-13419500.00000006,5774200.0,-41601200.0,66354800.0,132231400.0,245156300.0,141272199.99999994,59.33121702337315,71.30200507180737,78.5501777101947,85.69782083310564,99.92429173138824,99.9968804007214,99.99997601995416,34355.45649999999,29810.213416730658,30597.729156041296,601.9341439586897
01-16-2021,36826.96,Neutral,Neutral,Neutral,-23677800.0,-23677800.0,9228533.333333334,-2826640.0,-5412800.0,5247806.666666667,5151160.0,2828235.5555555555,-23677800.0,27685600.0,-14133200.0,-37889600.0,78717100.0,154534800.0,254541200.0,185236900.0,61.742319831766565,73.80885210959424,78.2847441216552,92.38879327974395,99.91991729025864,99.99664847451312,99.99997387660272,33866.909499999994,29491.752053486078,30210.106049020887,713.7901509791009
01-15-2021,39194.74,Neutral,Neutral,Neutral,18325799.99999994,18325799.99999994,12506500.0,-1971180.0,-316428.5714285714,6885493.333333333,6584043.333333333,3095240.0,18325799.99999994,37519500.0,-9855900.0,-2215000.0,103282400.0,197521300.0,278571600.0,344578099.99999994,69.43203108165083,71.91739543018507,80.55023861223118,98.92063797869028,99.91447362535757,99.99635434868702,99.99997141317613,33347.1855,29115.58754340844,29785.236240704202,854.8253592957863
01-14-2021,37362.16,Neutral,Neutral,Neutral,33037600.00000006,33037600.00000006,-2927066.666666647,-6507519.999999988,713842.8571428657,6682760.000000004,6027656.666666669,2872650.0000000005,33037600.00000006,-8781199.99999994,-32537599.99999994,4996900.00000006,100241400.00000006,180829700.00000006,258538500.00000006,277786800.00000036,66.42696061454151,69.11018056732783,82.0885330474738,99.30174104709502,99.90675091485569,99.9959304740692,99.99996838333314,32621.989999999998,28598.7079302499,29260.255369186627,1072.2938308133598
01-13-2021,34058.4,Neutral,Neutral,Neutral,-13843900.0,-13843900.0,-20406433.333333332,-10715680.0,48185.71428571428,4679860.0,4959240.0,2514344.4444444445,-13843900.0,-61219300.0,-53578400.0,337300.0,70197900.0,148777200.0,226291000.0,90670800.0,59.81349354741264,70.64490807557179,87.19310494229741,99.2960599335946,99.8984902796894,99.99548412419635,99.99996520519858,31940.557999999997,28149.300131801177,28785.706244211287,1268.4567557886967
01-12-2021,35442.79,Sell,Neutral,Neutral,-27974900.0,-27974900.0,-17243766.666666668,-2839360.0,4874628.571428572,6129013.333333333,5546356.666666667,2667992.222222222,-27974900.0,-51731300.0,-14196800.0,34122400.0,91935200.0,166390700.0,240119300.0,198545300.0,64.77868429837262,82.50599737824179,96.35465763634932,99.29570075936176,99.89228536386594,99.9950711124109,99.99996210961456,31399.264499999997,27846.269369329446,28420.279761221587,1377.7342387783992
01-11-2021,38240.28,Sell,Neutral,Sell,-19400500.0,-19400500.0,-3919866.6666666665,8431220.0,7414328.571428572,7871866.666666667,6734013.333333332,2965442.222222222,-19400500.0,-11759600.0,42156100.0,51900300.0,118078000.0,202020399.99999997,266889800.0,382994700.0,76.73037987786574,95.02474133460191,98.91177690710384,99.26024421527556,99.88363523061129,99.99455384063151,99.99995846899058,30818.107999999997,27456.70420878224,27996.767523928756,1531.253576071229
01-10-2021,40180.33,Sell,Sell,Sell,-4355900.0,-4355900.0,11059533.333333334,16299560.0,11400400.0,10326333.333333332,7309953.333333333,3199271.111111111,-4355900.0,33178600.0,81497800.0,79802800.0,154894999.99999997,219298600.0,287934400.0,564316900.0,87.0759740391887,98.16889388893121,98.82585897542741,99.20361958642698,99.8713099903967,99.99382298800685,99.99995389710654,30041.650999999994,26903.700322053126,27446.285009107243,1793.8332908927441
01-09-2021,40615.92,Sell,Sell,Sell,11996800.0,11996800.0,21970833.333333332,15131340.0,16044557.142857144,11254933.333333334,7362690.0,3255894.4444444445,11996800.0,65912500.0,75656700.0,112311900.0,168824000.0,220880700.0,293030500.0,655582600.0,89.59451970491293,97.99509739211041,98.63196523656664,99.10590377629521,99.85224685461695,99.99285673160956,99.99994818265178,29206.548,26222.847518055853,26785.15841917422,2161.605980825767
01-08-2021,39416.24,Sell,Sell,Sell,25537700.0,25537700.0,24618966.666666668,14432380.0,14944271.42857143,10789140.0,7030180.0,3149600.0,25537700.0,73856900.0,72161900.0,104609900.0,161837100.0,210905400.0,283464000.0,648908900.0,88.76334695923322,97.56956032429267,98.40490145455398,98.93515686162809,99.82618898496573,99.9916325551506,99.99994130783128,28367.630499999992,25484.741236930513,26075.618142182197,2559.4870578177906
01-07-2021,36862.47,Sell,Sell,Sell,28378000.0,28378000.0,12707400.0,14955480.0,11422814.285714285,8695206.666666666,5902909.999999999,2880237.777777778,28378000.0,38122200.0,74777400.0,79959700.0,130428100.0,177087299.99999997,259221400.0,528752700.0,86.65651375651268,96.88068229555745,98.13000654172515,98.72447920625987,99.79382187030424,99.99013334609603,99.99993336679287,27554.062999999995,24770.305402926948,25391.620273638007,2943.822526361977
01-06-2021,34024.67,Sell,Sell,Neutral,19941200.0,19941200.0,6082066.666666667,10138840.0,9552357.142857144,7542353.333333333,4888516.666666667,2594666.6666666665,19941200.0,18246200.0,50694200.0,66866500.0,113135300.0,146655500.0,233520000.0,415538900.0,83.45573203142632,96.39030521164054,97.75826491949728,98.51610179691743,99.76043654116964,99.98853119899263,99.9999247175264,26850.792999999994,24150.194397948842,24799.14176774995,3267.445332250032
01-05-2021,32030.55,Neutral,Sell,Neutral,-10197000.0,-10197000.0,8819400.0,6328100.0,7131342.857142857,5701520.0,4293743.333333333,2380738.888888889,-10197000.0,26458200.0,31640500.0,49919400.0,85522800.0,128812300.0,214266500.0,312156200.0,80.38568763960023,96.11915721618546,97.43760016292151,98.30050873517291,99.72450564469287,99.98689474316905,99.99991554752293,26218.23349999999,23643.81103374109,24312.22961941329,3513.879780586689
01-04-2021,33050.25,Neutral,Sell,Neutral,8502000.0,8502000.0,13650000.0,11424460.0,9715685.714285715,6141786.666666667,4800763.333333333,2472793.3333333335,8502000.0,40950000.0,57122300.0,68009800.0,92126800.0,144022900.0,222551400.0,410733800.0,88.15299749574207,95.68246554552917,97.20596809529573,98.11016887272389,99.69208868995446,99.98516875338217,99.99990576795304,25588.83649999999,23213.721855984222,23892.757689667742,3712.8152103322373
01-03-2021,32200.05,Neutral,Sell,Neutral,28153200.0,28153200.0,11111833.333333334,10322880.0,8239385.714285715,6036773.333333333,4261630.0,2389242.222222222,28153200.0,33335500.0,51614400.0,57675700.0,90551600.0,127848900.0,215031800.0,389179300.0,87.19506888706101,94.84954543745077,96.70693445153648,97.79820428854221,99.65101264796486,99.98281957421257,99.99989392034024,24900.28349999999,22709.284515265466,23413.915829816815,3960.3535701831643
01-02-2021,29384.73,Neutral,Sell,Neutral,4294800.0,4294800.0,6822366.666666667,6270920.0,6705571.428571424,4391773.333333333,3395523.3333333335,2091348.888888889,4294800.0,20467100.0,31354600.0,46938999.99999997,65876600.0,101865700.0,188221400.0,270797800.0,82.95797817184376,93.97024903911006,96.12645384627528,97.4692215457375,99.60263078020614,99.9802396026507,99.9998804328277,24249.31499999999,22222.57859297139,22954.25424830657,4197.21365169341
01-01-2021,28955.25,Neutral,Sell,Neutral,887500.0,887500.0,6388800.0,5045540.0,7459614.285714285,5054513.333333333,3388860.000000001,2042067.7777777778,887500.0,19166400.0,25227700.0,52217300.0,75817700.0,101665800.00000003,183786100.0,274982400.0,82.11988699085764,93.32008105254502,95.6987668772507,97.1470839915087,99.56157037831602,99.9777697462047,99.99986665226282,23720.26449999999,21855.288777226335,22597.817957940046,4359.001642059937
12-31-2020,28866.5,Neutral,Sell,Neutral,15284800.0,15284800.0,8724100.0,8351339.999999994,8048528.571428572,6282593.333333333,3059876.6666666665,2027078.888888889,15284800.0,26172300.0,41756699.99999997,56339700.0,94238900.0,91796300.0,182437100.0,325588700.0,81.94955397927757,92.62895928976407,95.31205112792945,96.7151714316829,99.5071447987955,99.97485735866944,99.99985109139412,23174.41399999999,21491.18820169948,22247.0356108642,4519.430489135779
12-30-2020,27338.02,Neutral,Neutral,Neutral,2994100.0,2994100.0,3018466.6666666665,7209000.0,5026228.571428572,5372553.333333333,3051233.3333333335,1839844.4444444445,2994100.0,9055400.0,36045000.0,35183600.0,80588300.0,91537000.0,165586000.0,255403400.0,78.70537084447528,91.51593682983687,94.56037317402897,96.12785222216965,99.42472011682777,99.97175484008666,99.99983314379485,22643.612499999992,21112.967083837913,21888.11006225383,4688.890037746149
12-29-2020,27038.61,Neutral,Neutral,Neutral,7893400.0,7893400.0,7825933.333333324,7612160.0,6182100.0,5238620.0,3109326.6666666665,1797293.3333333333,7893400.0,23477799.99999997,38060800.0,43274700.0,78579300.0,93279800.0,161756400.0,284565800.0,77.9856824338664,91.08336610986186,93.75814735496111,95.67994066390384,99.33662446113772,99.96811126619423,99.99981427797181,22203.10399999999,20793.733600957807,21578.95516944815,4823.863730551826
12-28-2020,26249.27,Neutral,Neutral,Neutral,-1832100.0,-1832100.0,8385833.333333333,4859220.0,3958571.4285714286,4963700.0,3042626.6666666665,1725430.0,-1832100.0,25157500.0,24296100.0,27710000.0,74455500.0,91278800.0,155288700.0,241065800.0,76.0000548178504,89.83570851960931,92.70298023328374,95.02231829662773,99.22984009105672,99.96367758446556,99.99979305307724,21767.45849999999,20473.483529212055,21272.047714665943,4959.072085334039
12-27-2020,26432.48,Neutral,Neutral,Neutral,17416499.99999997,17416499.99999997,10666500.0,7442680.0,3707014.285714286,5596159.999999998,3086113.3333333335,1735407.7777777778,17416499.99999997,31999500.0,37213400.0,25949100.0,83942399.99999997,92583400.0,156186700.0,289104299.99999994,77.50677506469398,88.19168596441213,91.89036903906337,94.52694266559669,99.10276569573492,99.95842522032487,99.99976957843731,21412.68199999999,20177.28935122293,20986.393875551115,5080.916424448864
12-26-2020,24690.83,Neutral,Neutral,Neutral,9573100.00000003,9573100.00000003,2903900.00000001,2425120.000000006,2208485.7142857187,4293573.333333335,2004836.6666666677,1547155.555555556,9573100.00000003,8711700.00000003,12125600.00000003,15459400.00000003,64403600.00000003,60145100.00000003,139244000.00000003,170418500.00000018,72.73538243958406,85.4031136195017,90.36419783852094,94.00844323336803,98.91542264347147,99.95187022376797,99.99974227509135,21059.01399999999,19856.51034359334,20684.607117037438,5217.0653829625435
12-25-2020,23733.52,Neutral,Neutral,Neutral,5009900.0,5009900.0,3407933.3333333335,-208100.0,1337785.7142857143,3470446.6666666665,1530563.3333333323,1445257.7777777778,5009900.0,10223800.0,-1040500.0,9364500.0,52056700.0,45916899.99999997,130073200.0,121531299.99999997,69.4250961378225,84.47636379202996,89.78240261520696,93.67706606476006,98.72589066392544,99.94681147771533,99.99971424429597,20781.93849999999,19608.596515059668,20441.247861912634,5309.74833808735
12-24-2020,23232.53,Neutral,Neutral,Neutral,-5871300.0,-5871300.0,-819133.3333333334,175280.0,2655785.714285714,3271220.0,1620390.0,1384146.6666666667,-5871300.0,-2457400.0,876400.0,18590500.0,49068300.0,48611700.0,124573200.00000001,108818200.0,67.50804467119508,83.3224901797645,90.21643496645015,93.4740483028646,98.53355004037276,99.94252931639717,99.99968447720326,20527.66049999999,19397.061977370424,20225.417476569455,5384.475523430529
12-23-2020,23819.66,Neutral,Neutral,Neutral,11085200.0,11085200.0,-59700.0,2045180.0,6252928.571428572,3110613.333333331,1815243.3333333333,1507925.5555555555,11085200.0,-179100.0,10225900.0,43770500.0,46659199.99999997,54457300.0,135713300.0,166018999.99999997,72.45157293937964,84.72812071913694,90.17930292775048,93.06348662181294,98.31028692464953,99.9375898023686,99.99965226323438,20336.79199999999,19200.371309543265,20021.278134991742,5452.613165008244
12-22-2020,22711.14,Neutral,Neutral,Neutral,-7671300.0,-7671300.0,-1445833.3333333333,2675320.0,4902785.714285715,2234680.0,1351933.3333333333,1351764.4444444445,-7671300.0,-4337500.0,13376600.0,34319500.0,33520200.0,40558000.0,121658800.0,109765500.0,68.39390062128423,84.8249635941242,89.75814521218382,91.95725930471369,98.04785728037938,99.93146207515213,99.9996122114797,20105.71699999999,18963.484710032662,19790.357338230286,5543.767361769695
12-21-2020,23478.27,Neutral,Neutral,Neutral,-3593000.0,-3593000.0,2270666.6666666665,8071320.0,6139414.285714285,2885966.6666666665,1614156.6666666667,1449967.7777777778,-3593000.0,6812000.0,40356600.0,42975900.0,43289500.0,48424700.0,130497100.0,178265700.0,75.5441602904607,87.06281911431785,89.19531955251671,90.90072197457594,97.82222712600273,99.92646922228926,99.99957108949633,19909.593499999988,18771.297259265106,19592.74792217102,5611.92537782896
12-20-2020,23837.57,Neutral,Neutral,Neutral,6926800.0,6926800.0,8213633.333333333,9116760.0,7191214.285714285,3459740.0,2014200.0,1432653.3333333333,6926800.0,24640900.0,45583800.0,50338500.0,51896100.0,60426000.0,128938800.0,239812100.0,79.14263551023159,86.54516805367243,87.22926633556253,89.26022556323075,97.47180883283919,99.92000872156936,99.99952043744754,19720.02349999999,18529.914041791522,19362.468492053344,5705.082107946636
12-19-2020,23144.89,Neutral,Neutral,Neutral,3478200.0,3478200.0,12340933.333333334,7928420.0,7295214.285714282,2486486.6666666665,1792703.3333333333,1337678.888888889,3478200.0,37022800.0,39642100.0,51066499.99999997,37297300.0,53781100.0,120391100.0,222287999.99999997,77.19827853657645,84.45608829040873,84.2170788340696,86.64054980460268,96.92014900396951,99.91094218820695,99.99946216286072,19437.360999999986,18257.72655675519,19110.072902020125,5823.201997979855
12-18-2020,22797.07,Neutral,Neutral,Neutral,14235900.0,14235900.0,11726266.666666666,7986700.0,6495142.857142857,2399273.3333333335,1705176.6666666667,1316471.111111111,14235900.0,35178800.0,39933500.0,45466000.0,35989100.0,51155300.0,118482400.0,221958600.0,76.16213194650054,80.15781215551476,80.50358868738392,82.65512409811745,96.39522334630016,99.90173753497564,99.9993988254016,19165.647999999986,18007.102790434947,18877.742469131015,5923.739830868966
12-17-2020,21373.48,Neutral,Neutral,Neutral,19308700.0,19308700.0,7309333.333333333,6670479.999999994,4065185.714285714,1723206.6666666686,1552526.6666666667,1153840.0,19308700.0,21928000.0,33352399.99999997,28456300.0,25848100.00000003,46575800.0,103845600.0,175469300.0,71.18584869229497,73.75428068323274,75.0018688581268,76.97684142864563,95.74550519138934,99.89186626855579,99.99932632600188,18881.863999999987,17761.463446354686,18653.300125993374,6015.221474006609
12-16-2020,19442.61,Neutral,Neutral,Neutral,1634200.0,1634200.0,2129633.3333333335,2384280.0,1595585.7142857143,-162840.0,1164530.0,939182.2222222222,1634200.0,6388900.0,11921400.0,11169100.0,-2442600.0,34935900.0,84526400.0,63606900.0,60.90778249009132,67.7256135619985,67.99824900641879,71.56713905428055,95.16422475885375,99.88182986907407,99.99925301011665,18671.89699999999,17576.23182821903,18472.551733722757,6083.925066277226
12-15-2020,19279.19,Neutral,Neutral,Neutral,985100.0,985100.0,4136499.99999999,1502680.0,179214.28571428146,729913.3333333334,1070763.3333333333,943610.0,985100.0,12409499.99999997,7513400.0,1254499.9999999702,10948700.0,32122900.0,84924900.0,65234099.99999994,59.78029442550438,65.58702401050829,64.71735963163538,68.90417290773136,96.31897645458793,99.8736626251334,99.99918605849817,18633.58249999999,17480.520127102063,18348.942877717847,6114.797822282137
12-14-2020,19180.68,Neutral,Neutral,Neutral,3769600.0,3769600.0,3100700.0,1709960.0,-254914.2857142857,980033.3333333334,958830.0,942334.4444444445,3769600.0,9302100.0,8549800.0,-1784400.0,14700500.0,28764900.0,84810100.0,63302500.0,59.12033165050472,60.91600170638474,62.4653249588592,68.59742746817548,96.12317466851103,99.86573993267574,99.99911178713269,18626.71449999999,17388.28064644063,18229.14275270187,6137.806047298112
12-13-2020,18803.72,Neutral,Neutral,Neutral,7654799.99999997,7654799.99999997,919566.6666666666,-700040.0000000059,-493714.28571428574,1121553.3333333333,844126.6666666666,942410.0,7654799.99999997,2758700.0,-3500200.00000003,-3456000.0,16823300.0,25323800.0,84816900.0,45604399.99999994,56.58923791279376,56.838146167800254,59.75071842965746,69.50298558603824,95.84780869424596,99.85835393973316,99.9990296820323,18586.24849999999,17296.362730873487,18113.141693440746,6150.836506559237
12-12-2020,18038.24,Neutral,Neutral,Neutral,-2122299.99999997,-2122299.99999997,-958199.9999999901,-2641759.999999994,-871028.5714285672,576066.6666666686,795306.6666666677,843360.0000000003,-2122299.99999997,-2874599.99999997,-13208799.99999997,-6097199.99999997,8641000.00000003,23859200.00000003,75902400.00000003,8197300.000000179,50.85113617231924,55.56131693099835,61.43990246437408,71.19320816420708,95.50881688644564,99.85168384810761,99.99893856567694,18564.75899999999,17219.06235809777,18002.035340423878,6169.905659576105
12-11-2020,18250.47,Neutral,Neutral,Neutral,-2773800.0,-2773800.0,-3010900.00000001,-1797700.0,-1663842.857142857,-283900.0,996286.6666666666,868974.4444444445,-2773800.0,-9032700.00000003,-8988500.0,-11646900.0,-4258500.0,29888600.0,78207700.0,-6811800.00000003,52.64255031131436,57.198532548839864,68.19570039620248,74.14718531303602,95.32685116066324,99.84531106911533,99.99884873021556,18595.613999999994,17177.05324825663,17909.334527242623,6178.2240727573535
12-10-2020,18527.85,Neutral,Neutral,Neutral,2021500.0,2021500.0,-2770900.0,-240220.0,-957585.7142857143,-409320.000000002,1076626.6666666667,906831.1111111109,2021500.0,-8312700.0,-1201100.0,-6703100.0,-6139800.00000003,32298800.0,81614799.99999999,11963599.99999997,54.99376607696831,62.57896530214556,73.28780130424832,80.03777535327758,97.12771115002643,99.83717279352939,99.99874728888713,18614.880499999992,17122.006235346715,17809.393187169822,6191.660712830153
