date,open,high,low,close
2020-12-29 01:00:00.000,1.346380,1.346430,1.346370,1.346380
2020-12-29 01:01:00.000,1.346390,1.346390,1.346100,1.346180
2020-12-29 01:02:00.000,1.346190,1.346400,1.345900,1.346250
2020-12-29 01:03:00.000,1.346250,1.346440,1.345990,1.346030
2020-12-29 01:04:00.000,1.346020,1.346370,1.346020,1.346150
2020-12-29 01:05:00.000,1.346140,1.346200,1.346020,1.346060
2020-12-29 01:06:00.000,1.346070,1.346240,1.346030,1.346240
2020-12-29 01:07:00.000,1.346230,1.346430,1.346230,1.346420
2020-12-29 01:08:00.000,1.346440,1.346490,1.346350,1.346450
2020-12-29 01:09:00.000,1.346440,1.346470,1.346340,1.346390
2020-12-29 01:10:00.000,1.346400,1.346410,1.346220,1.346220
2020-12-29 01:11:00.000,1.346240,1.346360,1.346240,1.346280
2020-12-29 01:12:00.000,1.346280,1.346530,1.346280,1.346450
2020-12-29 01:13:00.000,1.346450,1.346520,1.346410,1.346420
2020-12-29 01:14:00.000,1.346440,1.346500,1.346430,1.346450
2020-12-29 01:15:00.000,1.346460,1.346470,1.346420,1.346450
2020-12-29 01:16:00.000,1.346390,1.346590,1.346190,1.346520
2020-12-29 01:17:00.000,1.346520,1.346580,1.346430,1.346520
2020-12-29 01:18:00.000,1.346520,1.346560,1.346490,1.346540
2020-12-29 01:19:00.000,1.346550,1.346620,1.346490,1.346520
2020-12-29 01:20:00.000,1.346470,1.346510,1.346350,1.346350
2020-12-29 01:21:00.000,1.346350,1.346540,1.346350,1.346540
2020-12-29 01:22:00.000,1.346560,1.346690,1.346550,1.346690
2020-12-29 01:23:00.000,1.346690,1.346940,1.346690,1.346750
2020-12-29 01:24:00.000,1.346750,1.346790,1.346700,1.346740
2020-12-29 01:25:00.000,1.346760,1.346790,1.346720,1.346760
2020-12-29 01:26:00.000,1.346770,1.346770,1.346610,1.346640
2020-12-29 01:27:00.000,1.346630,1.346650,1.346540,1.346620
2020-12-29 01:28:00.000,1.346630,1.346810,1.346630,1.346760
2020-12-29 01:29:00.000,1.346770,1.346940,1.346760,1.346930
2020-12-29 01:30:00.000,1.346930,1.347060,1.346880,1.347030
2020-12-29 01:31:00.000,1.347120,1.347250,1.347080,1.347240
2020-12-29 01:32:00.000,1.347270,1.347290,1.347130,1.347240
2020-12-29 01:33:00.000,1.347240,1.347460,1.347210,1.347450
2020-12-29 01:34:00.000,1.347440,1.347460,1.347340,1.347460
2020-12-29 01:35:00.000,1.347440,1.347760,1.347440,1.347670
2020-12-29 01:36:00.000,1.347900,1.347910,1.347630,1.347630
2020-12-29 01:37:00.000,1.347630,1.347700,1.347610,1.347640
2020-12-29 01:38:00.000,1.347650,1.347770,1.347520,1.347550
2020-12-29 01:39:00.000,1.347570,1.347610,1.347430,1.347450
2020-12-29 01:40:00.000,1.347470,1.347590,1.347460,1.347550
2020-12-29 01:41:00.000,1.347490,1.347500,1.347450,1.347480
2020-12-29 01:42:00.000,1.347460,1.347470,1.347340,1.347400
2020-12-29 01:43:00.000,1.347380,1.347480,1.347360,1.347480
2020-12-29 01:44:00.000,1.347450,1.347450,1.347220,1.347230
2020-12-29 01:45:00.000,1.347230,1.347280,1.347150,1.347270
2020-12-29 01:46:00.000,1.347280,1.347410,1.347280,1.347370
2020-12-29 01:47:00.000,1.347370,1.347370,1.347180,1.347180
2020-12-29 01:48:00.000,1.347180,1.347190,1.347110,1.347110
2020-12-29 01:49:00.000,1.347100,1.347110,1.347100,1.347110
2020-12-29 01:50:00.000,1.347110,1.347110,1.347040,1.347060
