Date,Price,Bid,Bid1,AI Predictions,Gain,ave1,ave3,ave5,ave7,ave15,ave30,ave90,sum1,sum3,sum5,sum7,sum15,sum30,sum90,sumsum,rsi1,rsi3,rsi5,rsi7,rsi15,rsi30,rsi90,Sma,Ema,Upperbound,Lowerbound
2021-01-07 07:35:00,1.0828,Buy,Neutral,Buy,-1.0,-1.0,0.6666666666666666,0.0,-0.42857142857142855,-0.13333333333333333,-0.13333333333333333,0.08888888888888889,-1.0,2.0,0.0,-3.0,-2.0,-4.0,8.0,-8.0,40.50099327161785,34.28608935568164,17.98374708272428,18.19088217564179,17.35581269491442,7.787585043883723,79.86148324376376,1.083025,1.0830484472390771,1.0837187977444975,1.0821042022555047
2021-01-07 07:30:00,1.0829,Buy,Neutral,Buy,1.0,1.0,0.6666666666666666,0.0,-0.42857142857142855,-0.2,-0.1,0.0,1.0,2.0,0.0,-3.0,-3.0,-3.0,0.0,-6.0,44.266056121503794,26.694903960869127,17.98374708272428,20.005081607921426,18.707959668935786,8.693834404145619,74.37478954816515,1.083035,1.0830611881231322,1.0837336959567294,1.082077304043273
2021-01-07 07:25:00,1.0828,Buy,Neutral,Buy,2.0,2.0,0.0,-0.6,-0.5714285714285714,-0.26666666666666666,-0.13333333333333333,-0.011111111111111112,2.0,0.0,-3.0,-4.0,-4.0,-4.0,-1.0,-13.0,39.000448222299944,17.886842095623564,17.98374708272428,22.046780850048265,20.98513981559026,9.460556874972909,74.37478954816515,1.08304,1.0830694541807286,1.083750214794096,1.0820467852059066
2021-01-07 07:20:00,1.0826,Buy,Neutral,Buy,-1.0,-1.0,-1.0,-1.2,-0.8571428571428571,-0.26666666666666666,-0.2,-0.03333333333333333,-1.0,-3.0,-6.0,-6.0,-4.0,-6.0,-3.0,-26.0,26.020047463230966,17.886842095623564,20.203610846201983,25.23550955971804,24.708866934609162,10.620167684636257,76.62484643538804,1.0830499999999998,1.0830832723438428,1.0837690886331734,1.0820139113668295
2021-01-07 07:15:00,1.0827,Buy,Neutral,Buy,-1.0,-1.0,-1.3333333333333333,-1.0,-0.7142857142857143,-0.26666666666666666,-0.16666666666666666,-0.011111111111111112,-1.0,-4.0,-5.0,-5.0,-4.0,-5.0,-1.0,-24.0,28.872592862595013,21.178038636168324,26.21260230213757,31.60187957396566,29.58335111450124,12.806599619287425,83.67679892363319,1.0830699999999998,1.0831080555409631,1.0837844721817265,1.0819875278182762
2021-01-07 07:10:00,1.0828,Buy,Neutral,Buy,-1.0,-1.0,-1.3333333333333333,-0.8,-0.5714285714285714,-0.13333333333333333,-0.16666666666666666,-0.022222222222222223,-1.0,-4.0,-4.0,-4.0,-2.0,-5.0,-2.0,-20.0,32.144881685348835,27.42596896880771,34.04887239022021,39.26749583297305,36.217956446769705,15.233409638734656,86.13032052395357,1.0830849999999999,1.0831289814661407,1.0838018734950396,1.081957126504963
2021-01-07 07:05:00,1.0829,Buy,Neutral,Buy,-2.0,-2.0,-1.0,-0.6,-0.42857142857142855,-0.06666666666666667,-0.1,0.022222222222222223,-2.0,-3.0,-3.0,-3.0,-1.0,-3.0,2.0,-15.0,35.92570573679936,37.77403321971904,43.76897753248209,47.89850124600407,40.42744509090035,18.48628031960432,91.0905704837466,1.083105,1.0831458523105582,1.0838133978881936,1.0819336021118091
2021-01-07 07:00:00,1.0831,Neutral,Neutral,Neutral,-1.0,-1.0,-0.3333333333333333,-0.2,-0.14285714285714285,0.06666666666666667,-0.06666666666666667,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-2.0,0.0,-5.0,45.96630228166919,51.237699509870325,54.63016535407913,56.55578841677497,42.733441298861976,20.982569631965944,90.58720746912772,1.08312,1.083158460121356,1.0838262481872578,1.0819067518127452
2021-01-07 06:55:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.0,0.0,0.2857142857142857,0.13333333333333333,-0.03333333333333333,0.022222222222222223,0.0,0.0,0.0,2.0,2.0,-1.0,2.0,3.0,52.82023538625289,57.591316795322314,59.1752852570502,59.90724264042597,39.53061675009152,22.89655966918582,90.58720746912772,1.0831250000000001,1.0831614580762974,1.0838369158049967,1.0818800841950063
2021-01-07 06:50:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,-0.03333333333333333,0.011111111111111112,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,1.0,52.82023538625289,57.591316795322314,59.1752852570502,54.94927962193266,32.52186917545694,23.909141920410917,90.10518215958878,1.0831250000000001,1.0831594815673895,1.0838507050790311,1.0818472949209719
2021-01-07 06:45:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.0,0.4,0.0,0.0,-0.09999999999993937,0.044444444444444446,0.0,0.0,2.0,0.0,0.0,-2.999999999998181,4.0,-0.999999999998181,52.82023538625289,57.59131679532231,59.1752852570502,54.94927962193266,24.383512989601314,24.933025004006097,89.86419441991794,1.08312,1.0831574036990506,1.0838636108412207,1.0818153891587823
2021-01-07 06:40:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,-0.06666666666666667,0.044444444444444446,0.0,0.0,0.0,2.0,0.0,-2.0,4.0,0.0,52.82023538625289,57.59131679532231,52.90039657748731,54.94927962193266,24.383512989601314,28.310308794641955,88.85610396015625,1.08312,1.083155219273361,1.083883829142031,1.0817731708579716
2021-01-07 06:35:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.6666666666666666,0.0,0.14285714285714285,0.0,-0.06666666666666667,0.044444444444444446,0.0,2.0,0.0,1.0,0.0,-2.0,4.0,1.0,52.82023538625289,57.59131679532231,52.90039657748731,49.99859178450213,24.383512989601314,30.901478774473546,87.72219760554552,1.08312,1.083152922825841,1.0838948920571427,1.0817431079428599
2021-01-07 06:30:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.0,0.4,0.2857142857142857,0.0,-0.03333333333333333,0.044444444444444446,0.0,0.0,2.0,2.0,0.0,-1.0,4.0,3.0,52.82023538625289,48.83038846363866,52.90039657748731,47.31031014239606,24.383512989601314,33.77173008018208,86.4411075182636,1.08312,1.0831505086117816,1.083897579575469,1.0817254204245337
2021-01-07 06:25:00,1.0832,Neutral,Neutral,Neutral,2.0,2.0,0.0,0.2,0.2857142857142857,0.06666666666666667,-0.03333333333333333,0.044444444444444446,2.0,0.0,1.0,2.0,1.0,-1.0,4.0,5.0,52.82023538625289,48.83038846363866,46.290755789089374,41.46580877067202,24.383512989601314,35.293762635597645,84.98646117539425,1.08312,1.083147970591873,1.0838999661074016,1.0817080338926013
2021-01-07 06:20:00,1.083,Neutral,Neutral,Neutral,-2.0,-2.0,0.0,0.0,0.0,-0.13333333333333333,-0.13333333333333333,0.0,-2.0,0.0,0.0,0.0,-2.0,-4.0,0.0,-8.0,42.637468150041336,48.830388463638656,42.54745062938144,34.74449285676039,21.098749354129183,36.83528556865292,83.3253221921625,1.08312,1.0831453024170972,1.083905400172083,1.0816855998279198
2021-01-07 06:15:00,1.0832,Neutral,Neutral,Neutral,0.0,0.0,0.3333333333333333,0.4,0.2857142857142857,0.0,-0.03333333333333333,0.022222222222222223,0.0,1.0,2.0,2.0,0.0,-1.0,2.0,4.0,53.32434771090548,48.830388463638656,42.547450629381444,34.74449285676039,22.950233733203007,43.96818058899889,83.3253221921625,1.0831350000000002,1.083152753823102,1.083914409323391,1.0816605906766117
2021-01-07 06:10:00,1.0832,Neutral,Neutral,Buy,2.0,2.0,0.6666666666666666,0.4,0.2857142857142857,0.0,-0.03333333333333333,0.022222222222222223,2.0,2.0,2.0,2.0,0.0,-1.0,2.0,7.0,53.32434771090548,44.574011776091,34.69894408856662,27.57361860132289,22.950233733203007,46.03770614114214,82.49008954473166,1.0831350000000002,1.0831503309422355,1.083917301370991,1.081641698629012
2021-01-07 06:05:00,1.083,Neutral,Neutral,Neutral,-1.0,-1.0,0.0,0.0,-0.2857142857142857,-0.13333333333333333,-0.06666666666666667,-0.03333333333333333,-1.0,0.0,0.0,-2.0,-2.0,-2.0,-3.0,-7.0,40.45579743275687,34.447427325042966,25.21203465370995,19.343425437845127,22.950233733203007,48.141824471670176,81.63593975985006,1.0831400000000002,1.0831477838110681,1.083921501747668,1.081620498252335
2021-01-07 06:00:00,1.0831,Neutral,Neutral,Neutral,1.0,1.0,0.3333333333333333,0.2,-0.14285714285714285,-0.06666666666666667,-0.03333333333333333,-0.011111111111111112,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,46.39449173087286,34.447427325042966,25.21203465370995,21.625293724249886,24.684576656858795,52.60707635298626,87.58702927440687,1.0831550000000003,1.083155362468046,1.0839355369730552,1.0815874630269477
2021-01-07 05:55:00,1.083,Neutral,Neutral,Neutral,0.0,0.0,0.0,-0.4,-0.2857142857142857,-0.2,-0.03333333333333333,0.0,0.0,0.0,-2.0,-2.0,-3.0,-1.0,0.0,-8.0,37.93436827289806,28.84248771400067,20.214827208108105,22.878339723893134,25.582150590619037,54.97446607667795,89.60893291329901,1.0831650000000006,1.0831582015689714,1.0839478054516711,1.0815551945483317
