Date,Price,Bid,Bid1,AI Predictions,Gain,ave1,ave3,ave5,ave7,ave15,ave30,ave90,sum1,sum3,sum5,sum7,sum15,sum30,sum90,sumsum,rsi1,rsi3,rsi5,rsi7,rsi15,rsi30,rsi90,Sma,Ema,Upperbound,Lowerbound
2021-01-07 07:40:00,0.8793,Sell,Neutral,Neutral,1.0,1.0,1.3333333333333333,1.2,1.4285714285714286,0.5333333333333333,0.2,0.12222222222222222,1.0,4.0,6.0,10.0,8.0,6.0,11.0,35.0,66.27232765353928,78.00021571162497,78.16145476362848,78.92668721537858,70.805440003814,64.89611599805613,54.767731420345264,0.8787049999999986,0.8787074475246286,0.8813477178851005,0.8767652821149018
2021-01-07 07:35:00,0.8792,Sell,Neutral,Sell,1.0,1.0,1.3333333333333333,0.8,0.7142857142857143,0.4666666666666667,0.13333333333333333,0.12222222222222222,1.0,4.0,4.0,5.0,7.0,4.0,11.0,25.0,64.26258950907892,74.26051574599565,73.68789057894155,71.73095144703153,65.20468189667653,60.056838669366016,46.99172660645761,0.8786749999999985,0.8786770602181994,0.8813519320486702,0.8767400679513317
2021-01-07 07:30:00,0.8791,Sell,Neutral,Sell,2.0,2.0,1.3333333333333333,1.6,0.5714285714285714,0.4,0.0,0.06666666666666667,2.0,4.0,8.0,4.0,6.0,0.0,6.0,24.0,62.16938417452569,69.43613036105563,69.86667961861704,66.40492483375468,58.77956870269127,56.3300750839699,36.92244964728644,0.8786449999999985,0.8786502427934917,0.8813576803564882,0.876713319643514
2021-01-07 07:25:00,0.8789,Sell,Neutral,Sell,1.0,1.0,0.3333333333333333,0.4,0.42857142857142855,0.2,-0.06666666666666667,0.06666666666666667,1.0,1.0,2.0,3.0,3.0,-2.0,6.0,8.0,57.55205622305077,62.99579383564521,58.738094896790145,60.93787094726662,51.6776337226558,56.3300750839699,30.207594011747503,0.8786199999999983,0.8786271783213631,0.881372176552106,0.8766728234478961
2021-01-07 07:20:00,0.8788,Buy,Neutral,Buy,1.0,1.0,1.6666666666666667,0.2,0.2857142857142857,0.2,0.03333333333333333,0.03333333333333333,1.0,5.0,1.0,2.0,3.0,1.0,3.0,13.0,55.00214883783701,61.09257818167147,54.86886506313223,55.945010603174445,47.47611479060091,58.69088321073669,22.551833906704076,0.8786049999999982,0.8786131874660484,0.8813961920581378,0.8766198079418644
2021-01-07 07:15:00,0.8787,Buy,Neutral,Neutral,-1.0,-1.0,0.0,0.2,0.0,0.0,-0.03333333333333333,0.011111111111111112,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,52.34386154772183,48.887175548564244,52.81454197139904,52.15960592986177,42.8630390459214,57.871125444596814,18.395811126639273,0.878594999999998,0.8786036073361023,0.8814158267203727,0.8765741732796297
2021-01-07 07:10:00,0.8788,Buy,Neutral,Buy,5.0,5.0,0.3333333333333333,0.4,0.2857142857142857,0.13333333333333333,-0.06666666666666667,0.044444444444444446,5.0,1.0,2.0,2.0,2.0,-2.0,4.0,10.0,55.38190030555978,48.887175548564244,50.7321052452658,52.15960592986177,42.8630390459214,58.95753675203938,17.017499692443664,0.878589999999998,0.8785986641225692,0.8814567961799186,0.8764982038200838
2021-01-07 07:05:00,0.8783,Buy,Neutral,Buy,-4.0,-4.0,-1.0,-0.8,-0.2857142857142857,-0.2,-0.3,-0.03333333333333333,-4.0,-3.0,-4.0,-2.0,-3.0,-9.0,-3.0,-25.0,38.92353148256206,45.9639389333322,46.33353048867385,48.33159754980569,39.82503047125131,61.08728609209824,11.463135504721294,0.878579999999998,0.878588339205778,0.881480102106609,0.8764458978933931
2021-01-07 07:00:00,0.8787,Buy,Neutral,Buy,0.0,0.0,0.3333333333333333,0.2,0.2857142857142857,0.06666666666666667,-0.2,-0.022222222222222223,0.0,1.0,1.0,2.0,1.0,-6.0,-2.0,-1.0,53.615099065087406,54.6747231000318,55.542695049916425,52.21090952322003,43.0103373769107,71.94733273639454,12.023614659658804,0.8786049999999982,0.8786031258317154,0.8815015795139874,0.8764014204860148
2021-01-07 06:55:00,0.8787,Buy,Neutral,Buy,1.0,1.0,0.0,0.4,0.2857142857142857,0.06666666666666667,-0.1,0.011111111111111112,1.0,0.0,2.0,2.0,1.0,-3.0,1.0,3.0,53.615099065087406,51.850314461652026,53.39219832939943,48.362281683292714,41.56365813667934,80.84458381648177,12.398901473740352,0.8786099999999983,0.8785981579256495,0.8815217964355035,0.8763542035644987
