Date,Price
2021-01-07 07:00:00,1.8652
2021-01-07 06:45:00,1.8649
2021-01-07 06:30:00,1.8648
2021-01-07 06:15:00,1.8651
2021-01-07 06:00:00,1.8644
2021-01-07 05:45:00,1.864
2021-01-07 05:30:00,1.8641
2021-01-07 05:15:00,1.8632
2021-01-07 05:00:00,1.8632
2021-01-07 04:45:00,1.863
2021-01-07 04:30:00,1.867
2021-01-07 04:15:00,1.8673
2021-01-07 04:00:00,1.868
2021-01-07 03:45:00,1.8684
2021-01-07 03:30:00,1.8674
2021-01-07 03:15:00,1.8675
2021-01-07 03:00:00,1.8683
2021-01-07 02:45:00,1.8671
2021-01-07 02:30:00,1.8667
2021-01-07 02:15:00,1.8649
2021-01-07 02:00:00,1.8657
2021-01-07 01:45:00,1.8649
2021-01-07 01:30:00,1.8644
2021-01-07 01:15:00,1.8661
2021-01-07 01:00:00,1.8655
2021-01-07 00:45:00,1.8664
2021-01-07 00:30:00,1.8652
2021-01-07 00:15:00,1.8648
2021-01-07 00:00:00,1.8655
2021-01-06 23:45:00,1.8655
2021-01-06 23:30:00,1.8665
2021-01-06 23:15:00,1.8664
2021-01-06 23:00:00,1.8673
2021-01-06 22:45:00,1.868
2021-01-06 22:30:00,1.8688
2021-01-06 22:15:00,1.8685
2021-01-06 22:00:00,1.8685
2021-01-06 21:45:00,1.8688
2021-01-06 21:30:00,1.8682
2021-01-06 21:15:00,1.8676
2021-01-06 21:00:00,1.8679
2021-01-06 20:45:00,1.8683
2021-01-06 20:30:00,1.8667
2021-01-06 20:15:00,1.8657
2021-01-06 20:00:00,1.8656
2021-01-06 19:45:00,1.8657
2021-01-06 19:30:00,1.8662
2021-01-06 19:15:00,1.8668
2021-01-06 19:00:00,1.8675
2021-01-06 18:45:00,1.8673
2021-01-06 18:30:00,1.867
2021-01-06 18:15:00,1.8645
2021-01-06 18:00:00,1.8646
2021-01-06 17:45:00,1.8654
2021-01-06 17:30:00,1.8653
2021-01-06 17:15:00,1.8656
2021-01-06 17:00:00,1.8658
2021-01-06 16:45:00,1.8653
2021-01-06 16:30:00,1.8656
2021-01-06 16:15:00,1.8641
2021-01-06 16:00:00,1.8661
2021-01-06 15:45:00,1.8668
2021-01-06 15:30:00,1.8657
2021-01-06 15:15:00,1.8682
2021-01-06 15:00:00,1.8679
2021-01-06 14:45:00,1.8691
2021-01-06 14:30:00,1.8673
2021-01-06 14:15:00,1.8697
2021-01-06 14:00:00,1.8696
2021-01-06 13:45:00,1.8687
2021-01-06 13:30:00,1.8693
2021-01-06 13:15:00,1.8682
2021-01-06 13:00:00,1.8683
2021-01-06 12:45:00,1.8691
2021-01-06 12:30:00,1.8687
2021-01-06 12:15:00,1.8677
2021-01-06 12:00:00,1.8683
2021-01-06 11:45:00,1.869
2021-01-06 11:30:00,1.8693
2021-01-06 11:15:00,1.8687
2021-01-06 11:00:00,1.87
2021-01-06 10:45:00,1.8709
2021-01-06 10:30:00,1.8711
2021-01-06 10:15:00,1.8721
2021-01-06 10:00:00,1.8731
2021-01-06 09:45:00,1.8748
2021-01-06 09:30:00,1.8739
2021-01-06 09:15:00,1.873
2021-01-06 09:00:00,1.873
2021-01-06 08:45:00,1.8733
2021-01-06 08:30:00,1.8731
2021-01-06 08:15:00,1.8737
2021-01-06 08:00:00,1.8731
2021-01-06 07:45:00,1.8729
2021-01-06 07:30:00,1.8744
2021-01-06 07:15:00,1.8746
2021-01-06 07:00:00,1.8751
2021-01-06 06:45:00,1.8751
2021-01-06 06:30:00,1.8769
2021-01-06 06:15:00,1.8771
2021-01-06 06:00:00,1.8779
2021-01-06 05:45:00,1.8781
2021-01-06 05:30:00,1.8784
2021-01-06 05:15:00,1.8782
2021-01-06 05:00:00,1.8774
2021-01-06 04:45:00,1.8774
2021-01-06 04:30:00,1.8775
2021-01-06 04:15:00,1.8763
2021-01-06 04:00:00,1.8777
2021-01-06 03:45:00,1.8778
2021-01-06 03:30:00,1.8779
2021-01-06 03:15:00,1.8788
2021-01-06 03:00:00,1.8788
2021-01-06 02:45:00,1.8786
2021-01-06 02:30:00,1.8781
2021-01-06 02:15:00,1.8783
2021-01-06 02:00:00,1.8779
2021-01-06 01:45:00,1.879
2021-01-06 01:30:00,1.8786
2021-01-06 01:15:00,1.8784
2021-01-06 01:00:00,1.8782
2021-01-06 00:45:00,1.8783
2021-01-06 00:30:00,1.8778
2021-01-06 00:15:00,1.877
2021-01-06 00:00:00,1.8786
