Date,Price
2021-01-07 07:30:00,6.4407
2021-01-07 07:25:00,6.4396
2021-01-07 07:20:00,6.4396
2021-01-07 07:15:00,6.4387
2021-01-07 07:10:00,6.4404
2021-01-07 07:05:00,6.4401
2021-01-07 07:00:00,6.4373
2021-01-07 06:55:00,6.4402
2021-01-07 06:50:00,6.4375
2021-01-07 06:45:00,6.437
2021-01-07 06:40:00,6.4369
2021-01-07 06:35:00,6.4397
2021-01-07 06:30:00,6.4398
2021-01-07 06:25:00,6.4389
2021-01-07 06:20:00,6.4392
2021-01-07 06:15:00,6.4405
2021-01-07 06:10:00,6.4362
2021-01-07 06:05:00,6.4372
2021-01-07 06:00:00,6.4387
2021-01-07 05:55:00,6.4383
2021-01-07 05:50:00,6.4386
2021-01-07 05:45:00,6.4423
2021-01-07 05:40:00,6.4406
2021-01-07 05:35:00,6.4412
2021-01-07 05:30:00,6.4421
2021-01-07 05:25:00,6.4427
2021-01-07 05:20:00,6.4419
2021-01-07 05:15:00,6.4412
2021-01-07 05:10:00,6.4383
2021-01-07 05:05:00,6.4391
2021-01-07 05:00:00,6.4399
2021-01-07 04:55:00,6.441
2021-01-07 04:50:00,6.4375
2021-01-07 04:45:00,6.4374
2021-01-07 04:40:00,6.4398
2021-01-07 04:35:00,6.441
2021-01-07 04:30:00,6.4409
2021-01-07 04:25:00,6.4398
2021-01-07 04:20:00,6.4399
2021-01-07 04:15:00,6.44
2021-01-07 04:10:00,6.4368
2021-01-07 04:05:00,6.4366
2021-01-07 04:00:00,6.4379
2021-01-07 03:55:00,6.4353
2021-01-07 03:50:00,6.4389
2021-01-07 03:45:00,6.4393
2021-01-07 03:40:00,6.4411
2021-01-07 03:35:00,6.4405
2021-01-07 03:30:00,6.4411
2021-01-07 03:25:00,6.4409
2021-01-07 03:20:00,6.4406
2021-01-07 03:15:00,6.4418
2021-01-07 03:10:00,6.4418
2021-01-07 03:05:00,6.4432
2021-01-07 03:00:00,6.4371
2021-01-07 02:55:00,6.4362
2021-01-07 02:50:00,6.4367
2021-01-07 02:45:00,6.4364
2021-01-07 02:40:00,6.4354
2021-01-07 02:35:00,6.4348
2021-01-07 02:30:00,6.4343
2021-01-07 02:25:00,6.4335
2021-01-07 02:20:00,6.4386
2021-01-07 02:15:00,6.4398
2021-01-07 02:10:00,6.4408
2021-01-07 02:05:00,6.4392
2021-01-07 02:00:00,6.4389
2021-01-07 01:55:00,6.4383
2021-01-07 01:50:00,6.4374
2021-01-07 01:45:00,6.4379
2021-01-07 01:40:00,6.4382
2021-01-07 01:35:00,6.4391
2021-01-07 01:30:00,6.4386
2021-01-07 01:25:00,6.4382
2021-01-07 01:20:00,6.439
2021-01-07 01:15:00,6.4336
2021-01-07 01:10:00,6.4333
2021-01-07 01:05:00,6.4304
2021-01-07 01:00:00,6.4271
2021-01-07 00:55:00,6.4271
2021-01-07 00:50:00,6.4273
2021-01-07 00:45:00,6.4259
2021-01-07 00:40:00,6.4264
2021-01-07 00:35:00,6.4283
2021-01-07 00:30:00,6.427
2021-01-07 00:25:00,6.4263
2021-01-07 00:20:00,6.4266
2021-01-07 00:15:00,6.4269
2021-01-07 00:10:00,6.4241
2021-01-07 00:05:00,6.4255
2021-01-07 00:00:00,6.4361
2021-01-06 23:55:00,6.439
2021-01-06 23:50:00,6.4403
2021-01-06 23:45:00,6.4398
2021-01-06 23:40:00,6.4432
2021-01-06 23:35:00,6.4419
2021-01-06 23:30:00,6.4394
2021-01-06 23:25:00,6.4421
2021-01-06 23:20:00,6.4424
2021-01-06 23:15:00,6.448
2021-01-06 23:10:00,6.4475
2021-01-06 23:05:00,6.4475
2021-01-06 23:00:00,6.442
2021-01-06 22:55:00,6.4436
2021-01-06 22:50:00,6.4427
2021-01-06 22:45:00,6.4432
2021-01-06 22:40:00,6.4384
2021-01-06 22:35:00,6.435
2021-01-06 22:30:00,6.4383
2021-01-06 22:25:00,6.4373
2021-01-06 22:20:00,6.4357
2021-01-06 22:15:00,6.4336
2021-01-06 22:10:00,6.4355
2021-01-06 22:05:00,6.4387
2021-01-06 22:00:00,6.4391
2021-01-06 21:55:00,6.4382
2021-01-06 21:50:00,6.4373
2021-01-06 21:45:00,6.4389
2021-01-06 21:40:00,6.4391
2021-01-06 21:35:00,6.4407
2021-01-06 21:30:00,6.4383
2021-01-06 21:25:00,6.4432
2021-01-06 21:20:00,6.443
2021-01-06 21:15:00,6.4426
2021-01-06 21:10:00,6.4427
2021-01-06 21:05:00,6.439
2021-01-06 21:00:00,6.4406
2021-01-06 20:55:00,6.445
2021-01-06 20:50:00,6.447
2021-01-06 20:45:00,6.4464
2021-01-06 20:40:00,6.446
2021-01-06 20:35:00,6.4444
2021-01-06 20:30:00,6.4467
2021-01-06 20:25:00,6.444
2021-01-06 20:20:00,6.4472
2021-01-06 20:15:00,6.4492
2021-01-06 20:10:00,6.4507
2021-01-06 20:05:00,6.4484
2021-01-06 20:00:00,6.4479
2021-01-06 19:55:00,6.4472
2021-01-06 19:50:00,6.4489
2021-01-06 19:45:00,6.4486
2021-01-06 19:40:00,6.4494
2021-01-06 19:35:00,6.4443
2021-01-06 19:30:00,6.4487
2021-01-06 19:25:00,6.4458
2021-01-06 19:20:00,6.4424
2021-01-06 19:15:00,6.4432
2021-01-06 19:10:00,6.4451
2021-01-06 19:05:00,6.4455
2021-01-06 19:00:00,6.4427
2021-01-06 18:55:00,6.4466
2021-01-06 18:50:00,6.4442
2021-01-06 18:45:00,6.4481
2021-01-06 18:40:00,6.4468
2021-01-06 18:35:00,6.449
2021-01-06 18:30:00,6.4489
2021-01-06 18:25:00,6.4497
2021-01-06 18:20:00,6.4529
2021-01-06 18:15:00,6.454
2021-01-06 18:10:00,6.4538
2021-01-06 18:05:00,6.4548
2021-01-06 18:00:00,6.4509
2021-01-06 17:55:00,6.4484
2021-01-06 17:50:00,6.4496
2021-01-06 17:45:00,6.4476
2021-01-06 17:40:00,6.4489
2021-01-06 17:35:00,6.449
2021-01-06 17:30:00,6.4452
2021-01-06 17:25:00,6.4435
2021-01-06 17:20:00,6.4369
2021-01-06 17:15:00,6.4351
2021-01-06 17:10:00,6.4322
2021-01-06 17:05:00,6.4323
2021-01-06 17:00:00,6.4357
2021-01-06 16:55:00,6.4386
2021-01-06 16:50:00,6.4385
