Date,Price
2021-01-07 07:35:00,9.2916
2021-01-07 07:30:00,9.2941
2021-01-07 07:25:00,9.2933
2021-01-07 07:20:00,9.2938
2021-01-07 07:15:00,9.2946
2021-01-07 07:10:00,9.2947
2021-01-07 07:05:00,9.295
2021-01-07 07:00:00,9.2902
2021-01-07 06:55:00,9.2896
2021-01-07 06:50:00,9.291
2021-01-07 06:45:00,9.2903
2021-01-07 06:40:00,9.2888
2021-01-07 06:35:00,9.2899
2021-01-07 06:30:00,9.29
2021-01-07 06:25:00,9.2905
2021-01-07 06:20:00,9.291
2021-01-07 06:15:00,9.2918
2021-01-07 06:10:00,9.2903
2021-01-07 06:05:00,9.2912
2021-01-07 06:00:00,9.2922
2021-01-07 05:55:00,9.2889
2021-01-07 05:50:00,9.2929
2021-01-07 05:45:00,9.2926
2021-01-07 05:40:00,9.2928
2021-01-07 05:35:00,9.2928
2021-01-07 05:30:00,9.2907
2021-01-07 05:25:00,9.2908
2021-01-07 05:20:00,9.2888
2021-01-07 05:15:00,9.2901
2021-01-07 05:10:00,9.2918
2021-01-07 05:05:00,9.2912
2021-01-07 05:00:00,9.2913
2021-01-07 04:55:00,9.2924
2021-01-07 04:50:00,9.288
2021-01-07 04:45:00,9.2876
2021-01-07 04:40:00,9.2908
2021-01-07 04:35:00,9.2904
2021-01-07 04:30:00,9.2892
2021-01-07 04:25:00,9.2906
2021-01-07 04:20:00,9.2908
2021-01-07 04:15:00,9.289
2021-01-07 04:10:00,9.2906
2021-01-07 04:05:00,9.2906
2021-01-07 04:00:00,9.2912
2021-01-07 03:55:00,9.2908
2021-01-07 03:50:00,9.29
2021-01-07 03:45:00,9.2875
2021-01-07 03:40:00,9.2875
2021-01-07 03:35:00,9.2915
2021-01-07 03:30:00,9.2914
2021-01-07 03:25:00,9.2952
2021-01-07 03:20:00,9.2925
2021-01-07 03:15:00,9.2921
2021-01-07 03:10:00,9.2918
2021-01-07 03:05:00,9.2903
2021-01-07 03:00:00,9.2903
