Date,Price
2021-01-07 07:40:00,8.1744
2021-01-07 07:35:00,8.1721
2021-01-07 07:30:00,8.1729
2021-01-07 07:25:00,8.172
2021-01-07 07:20:00,8.1718
2021-01-07 07:15:00,8.1676
2021-01-07 07:10:00,8.1711
2021-01-07 07:05:00,8.1691
2021-01-07 07:00:00,8.1653
2021-01-07 06:55:00,8.163
2021-01-07 06:50:00,8.1647
2021-01-07 06:45:00,8.1644
2021-01-07 06:40:00,8.1648
2021-01-07 06:35:00,8.1651
2021-01-07 06:30:00,8.1634
2021-01-07 06:25:00,8.1621
2021-01-07 06:20:00,8.1643
2021-01-07 06:15:00,8.1635
2021-01-07 06:10:00,8.1645
2021-01-07 06:05:00,8.164
2021-01-07 06:00:00,8.1663
2021-01-07 05:55:00,8.1669
2021-01-07 05:50:00,8.1666
2021-01-07 05:45:00,8.1675
2021-01-07 05:40:00,8.1653
2021-01-07 05:35:00,8.1666
2021-01-07 05:30:00,8.1671
2021-01-07 05:25:00,8.1682
2021-01-07 05:20:00,8.1682
2021-01-07 05:15:00,8.1656
2021-01-07 05:10:00,8.1673
2021-01-07 05:05:00,8.1686
2021-01-07 05:00:00,8.1698
2021-01-07 04:55:00,8.1721
2021-01-07 04:50:00,8.1651
2021-01-07 04:45:00,8.1643
2021-01-07 04:40:00,8.1698
2021-01-07 04:35:00,8.1703
2021-01-07 04:30:00,8.1713
2021-01-07 04:25:00,8.1687
2021-01-07 04:20:00,8.1674
2021-01-07 04:15:00,8.168
2021-01-07 04:10:00,8.167
2021-01-07 04:05:00,8.1659
2021-01-07 04:00:00,8.1632
2021-01-07 03:55:00,8.1631
2021-01-07 03:50:00,8.1614
2021-01-07 03:45:00,8.1633
2021-01-07 03:40:00,8.1673
2021-01-07 03:35:00,8.1657
2021-01-07 03:30:00,8.1654
2021-01-07 03:25:00,8.166
2021-01-07 03:20:00,8.1662
2021-01-07 03:15:00,8.165
2021-01-07 03:10:00,8.1619
2021-01-07 03:05:00,8.1628
2021-01-07 03:00:00,8.1626
2021-01-07 02:55:00,8.1622
2021-01-07 02:50:00,8.163
2021-01-07 02:45:00,8.1629
2021-01-07 02:40:00,8.1605
2021-01-07 02:35:00,8.1592
2021-01-07 02:30:00,8.1586
2021-01-07 02:25:00,8.1562
2021-01-07 02:20:00,8.1592
2021-01-07 02:15:00,8.1586
2021-01-07 02:10:00,8.1604
2021-01-07 02:05:00,8.1568
2021-01-07 02:00:00,8.1559
2021-01-07 01:55:00,8.1555
2021-01-07 01:50:00,8.1582
2021-01-07 01:45:00,8.1583
2021-01-07 01:40:00,8.1567
2021-01-07 01:35:00,8.1571
2021-01-07 01:30:00,8.1573
2021-01-07 01:25:00,8.1574
2021-01-07 01:20:00,8.1619
2021-01-07 01:15:00,8.1624
2021-01-07 01:10:00,8.1615
2021-01-07 01:05:00,8.1577
2021-01-07 01:00:00,8.1592
2021-01-07 00:55:00,8.1538
2021-01-07 00:50:00,8.164
2021-01-07 00:45:00,8.1532
2021-01-07 00:40:00,8.1523
2021-01-07 00:35:00,8.1538
2021-01-07 00:30:00,8.1512
2021-01-07 00:25:00,8.1507
2021-01-07 00:20:00,8.1527
2021-01-07 00:15:00,8.1515
2021-01-07 00:10:00,8.152
2021-01-07 00:05:00,8.1631
2021-01-07 00:00:00,8.1662
2021-01-06 23:55:00,8.1618
2021-01-06 23:50:00,8.1639
2021-01-06 23:45:00,8.1637
2021-01-06 23:40:00,8.1651
2021-01-06 23:35:00,8.168
2021-01-06 23:30:00,8.1683
2021-01-06 23:25:00,8.1675
2021-01-06 23:20:00,8.1665
2021-01-06 23:15:00,8.1711
2021-01-06 23:10:00,8.1705
2021-01-06 23:05:00,8.174
2021-01-06 23:00:00,8.167
2021-01-06 22:55:00,8.1738
2021-01-06 22:50:00,8.17
2021-01-06 22:45:00,8.1723
2021-01-06 22:40:00,8.171
