Date,Price
2021-01-07 07:00:00,1.1948
2021-01-07 06:00:00,1.1943
2021-01-07 05:00:00,1.1967
2021-01-07 04:00:00,1.1966
2021-01-07 03:00:00,1.1963
2021-01-07 02:00:00,1.1951
2021-01-07 01:00:00,1.1945
2021-01-07 00:00:00,1.1958
2021-01-06 23:00:00,1.1963
2021-01-06 22:00:00,1.1981
2021-01-06 21:00:00,1.1984
2021-01-06 20:00:00,1.1971
2021-01-06 19:00:00,1.1937
2021-01-06 18:00:00,1.1942
2021-01-06 17:00:00,1.1926
2021-01-06 16:00:00,1.1938
2021-01-06 15:00:00,1.1958
2021-01-06 14:00:00,1.1967
2021-01-06 13:00:00,1.1963
2021-01-06 12:00:00,1.195
2021-01-06 11:00:00,1.1966
2021-01-06 10:00:00,1.1961
2021-01-06 09:00:00,1.1961
2021-01-06 08:00:00,1.1955
2021-01-06 07:00:00,1.1955
2021-01-06 06:00:00,1.1954
2021-01-06 05:00:00,1.1961
2021-01-06 04:00:00,1.1968
2021-01-06 03:00:00,1.1968
2021-01-06 02:00:00,1.1963
2021-01-06 01:00:00,1.1963
2021-01-06 00:00:00,1.1973
2021-01-05 23:00:00,1.1963
2021-01-05 22:00:00,1.1965
2021-01-05 21:00:00,1.1969
2021-01-05 20:00:00,1.1962
2021-01-05 19:00:00,1.1956
2021-01-05 18:00:00,1.197
2021-01-05 17:00:00,1.1945
2021-01-05 16:00:00,1.1953
2021-01-05 15:00:00,1.1953
2021-01-05 14:00:00,1.1964
2021-01-05 13:00:00,1.1945
2021-01-05 12:00:00,1.1925
2021-01-05 11:00:00,1.1953
2021-01-05 10:00:00,1.198
2021-01-05 09:00:00,1.1971
2021-01-05 08:00:00,1.1961
2021-01-05 07:00:00,1.1955
2021-01-05 06:00:00,1.1962
2021-01-05 05:00:00,1.196
2021-01-05 04:00:00,1.1961
2021-01-05 03:00:00,1.1959
2021-01-05 02:00:00,1.1954
2021-01-05 01:00:00,1.1959
2021-01-05 00:00:00,1.1954
2021-01-04 23:00:00,1.1947
2021-01-04 22:00:00,1.1949
2021-01-04 21:00:00,1.1957
2021-01-04 20:00:00,1.194
2021-01-04 19:00:00,1.1943
2021-01-04 18:00:00,1.1984
2021-01-04 17:00:00,1.1984
2021-01-04 16:00:00,1.1995
2021-01-04 15:00:00,1.2025
2021-01-04 14:00:00,1.2044
2021-01-04 13:00:00,1.2028
2021-01-04 12:00:00,1.2054
2021-01-04 11:00:00,1.2085
2021-01-04 10:00:00,1.2085
2021-01-04 09:00:00,1.209
2021-01-04 08:00:00,1.2095
2021-01-04 07:00:00,1.2103
2021-01-04 06:00:00,1.2097
2021-01-04 05:00:00,1.2089
2021-01-04 04:00:00,1.2083
2021-01-04 03:00:00,1.2082
2021-01-04 02:00:00,1.2066
2021-01-04 01:00:00,1.2061
2021-01-01 23:00:00,1.2087
2021-01-01 22:00:00,1.2087
2021-01-01 21:00:00,1.2087
2021-01-01 20:00:00,1.2087
2021-01-01 19:00:00,1.2087
2021-01-01 18:00:00,1.2087
2021-01-01 17:00:00,1.2087
2021-01-01 16:00:00,1.2087
2021-01-01 15:00:00,1.2087
2021-01-01 14:00:00,1.2087
2021-01-01 13:00:00,1.2087
2021-01-01 12:00:00,1.2087
2021-01-01 11:00:00,1.2087
2021-01-01 10:00:00,1.2087
2021-01-01 09:00:00,1.2087
2021-01-01 08:00:00,1.2087
2021-01-01 07:00:00,1.2087
2021-01-01 06:00:00,1.2087
2021-01-01 05:00:00,1.2087
2021-01-01 04:00:00,1.2087
2021-01-01 03:00:00,1.2087
2021-01-01 02:00:00,1.2087
2021-01-01 01:00:00,1.2092
2021-01-01 00:00:00,1.2107
2020-12-31 23:00:00,1.2106
2020-12-31 22:00:00,1.2094
2020-12-31 21:00:00,1.2082
2020-12-31 20:00:00,1.2082
2020-12-31 19:00:00,1.2083
2020-12-31 18:00:00,1.2027
2020-12-31 17:00:00,1.2008
2020-12-31 16:00:00,1.2026
2020-12-31 15:00:00,1.202
2020-12-31 14:00:00,1.2047
2020-12-31 13:00:00,1.2034
2020-12-31 12:00:00,1.2035
2020-12-31 11:00:00,1.2025
2020-12-31 10:00:00,1.2017
2020-12-31 09:00:00,1.2017
2020-12-31 08:00:00,1.201
2020-12-31 07:00:00,1.2005
2020-12-31 06:00:00,1.2006
2020-12-31 05:00:00,1.202
2020-12-31 04:00:00,1.2019
2020-12-31 03:00:00,1.2016
2020-12-31 02:00:00,1.1999
2020-12-31 01:00:00,1.2004
2020-12-31 00:00:00,1.2011
2020-12-30 23:00:00,1.2008
2020-12-30 22:00:00,1.2013
2020-12-30 21:00:00,1.2006
2020-12-30 20:00:00,1.2014
2020-12-30 19:00:00,1.2012
2020-12-30 18:00:00,1.2009
2020-12-30 17:00:00,1.2005
2020-12-30 16:00:00,1.201
2020-12-30 15:00:00,1.2039
2020-12-30 14:00:00,1.2023
2020-12-30 13:00:00,1.2012
2020-12-30 12:00:00,1.1992
2020-12-30 11:00:00,1.1955
2020-12-30 10:00:00,1.1948
2020-12-30 09:00:00,1.1946
2020-12-30 08:00:00,1.1944
2020-12-30 07:00:00,1.1947
2020-12-30 06:00:00,1.1957
2020-12-30 05:00:00,1.1946
