Date,Price
2021-01-07 06:30:00,9.291
2021-01-07 06:15:00,9.2912
2021-01-07 06:00:00,9.2929
2021-01-07 05:45:00,9.2928
2021-01-07 05:30:00,9.2888
2021-01-07 05:15:00,9.2912
2021-01-07 05:00:00,9.288
2021-01-07 04:45:00,9.2904
2021-01-07 04:30:00,9.2908
2021-01-07 04:15:00,9.2906
2021-01-07 04:00:00,9.29
2021-01-07 03:45:00,9.2915
2021-01-07 03:30:00,9.2925
2021-01-07 03:15:00,9.2903
2021-01-07 03:00:00,9.2922
2021-01-07 02:45:00,9.2904
2021-01-07 02:30:00,9.2915
2021-01-07 02:15:00,9.2865
2021-01-07 02:00:00,9.286
2021-01-07 01:45:00,9.2895
2021-01-07 01:30:00,9.2854
2021-01-07 01:15:00,9.2901
2021-01-07 01:00:00,9.2908
2021-01-07 00:45:00,9.2913
2021-01-07 00:30:00,9.2903
2021-01-07 00:15:00,9.2899
2021-01-07 00:00:00,9.2909
2021-01-06 23:45:00,9.2903
2021-01-06 23:30:00,9.292
2021-01-06 23:15:00,9.2995
2021-01-06 23:00:00,9.2982
2021-01-06 22:45:00,9.2921
2021-01-06 22:30:00,9.2928
2021-01-06 22:15:00,9.2975
2021-01-06 22:00:00,9.2932
2021-01-06 21:45:00,9.2942
2021-01-06 21:30:00,9.2867
2021-01-06 21:15:00,9.2831
2021-01-06 21:00:00,9.2831
2021-01-06 20:45:00,9.287
2021-01-06 20:30:00,9.2842
2021-01-06 20:15:00,9.2827
2021-01-06 20:00:00,9.2875
2021-01-06 19:45:00,9.278
2021-01-06 19:30:00,9.2797
2021-01-06 19:15:00,9.2863
2021-01-06 19:00:00,9.2898
2021-01-06 18:45:00,9.2869
2021-01-06 18:30:00,9.3036
2021-01-06 18:15:00,9.3049
2021-01-06 18:00:00,9.3003
2021-01-06 17:45:00,9.2997
2021-01-06 17:30:00,9.2871
2021-01-06 17:15:00,9.2848
2021-01-06 17:00:00,9.2994
2021-01-06 16:45:00,9.3102
2021-01-06 16:30:00,9.3048
2021-01-06 16:15:00,9.3043
2021-01-06 16:00:00,9.2971
2021-01-06 15:45:00,9.2972
2021-01-06 15:30:00,9.2951
2021-01-06 15:15:00,9.2981
2021-01-06 15:00:00,9.3025
2021-01-06 14:45:00,9.3013
2021-01-06 14:30:00,9.3003
2021-01-06 14:15:00,9.3035
2021-01-06 14:00:00,9.2906
2021-01-06 13:45:00,9.297
2021-01-06 13:30:00,9.2983
2021-01-06 13:15:00,9.2967
2021-01-06 13:00:00,9.2943
2021-01-06 12:45:00,9.2937
2021-01-06 12:30:00,9.2731
2021-01-06 12:15:00,9.2818
2021-01-06 12:00:00,9.288
2021-01-06 11:45:00,9.2866
2021-01-06 11:30:00,9.2875
2021-01-06 11:15:00,9.2972
2021-01-06 11:00:00,9.3022
2021-01-06 10:45:00,9.302
2021-01-06 10:30:00,9.2989
2021-01-06 10:15:00,9.2925
2021-01-06 10:00:00,9.2955
2021-01-06 09:45:00,9.2924
2021-01-06 09:30:00,9.2896
2021-01-06 09:15:00,9.3002
2021-01-06 09:00:00,9.2968
2021-01-06 08:45:00,9.2993
2021-01-06 08:30:00,9.3012
2021-01-06 08:15:00,9.2997
2021-01-06 08:00:00,9.3011
2021-01-06 07:45:00,9.2991
2021-01-06 07:30:00,9.3027
2021-01-06 07:15:00,9.3039
2021-01-06 07:00:00,9.3096
2021-01-06 06:45:00,9.3107
2021-01-06 06:30:00,9.3132
2021-01-06 06:15:00,9.3127
2021-01-06 06:00:00,9.3104
2021-01-06 05:45:00,9.3133
2021-01-06 05:30:00,9.312
2021-01-06 05:15:00,9.3152
2021-01-06 05:00:00,9.3113
2021-01-06 04:45:00,9.3126
2021-01-06 04:30:00,9.3092
2021-01-06 04:15:00,9.3152
2021-01-06 04:00:00,9.3066
2021-01-06 03:45:00,9.3073
2021-01-06 03:30:00,9.3114
2021-01-06 03:15:00,9.3098
2021-01-06 03:00:00,9.3073
2021-01-06 02:45:00,9.306
2021-01-06 02:30:00,9.3065
2021-01-06 02:15:00,9.3125
2021-01-06 02:00:00,9.3135
2021-01-06 01:45:00,9.3141
2021-01-06 01:30:00,9.3141
2021-01-06 01:15:00,9.2973
2021-01-06 01:00:00,9.3075
2021-01-06 00:45:00,9.2932
2021-01-06 00:30:00,9.3216
2021-01-06 00:15:00,9.3074
2021-01-06 00:00:00,9.3071
2021-01-05 23:45:00,9.3048
2021-01-05 23:30:00,9.3046
2021-01-05 23:15:00,9.3008
2021-01-05 23:00:00,9.3085
2021-01-05 22:45:00,9.3091
2021-01-05 22:30:00,9.3086
2021-01-05 22:15:00,9.3026
2021-01-05 22:00:00,9.3043
2021-01-05 21:45:00,9.3061
2021-01-05 21:30:00,9.3077
2021-01-05 21:15:00,9.308
2021-01-05 21:00:00,9.3119
2021-01-05 20:45:00,9.311
2021-01-05 20:30:00,9.3109
2021-01-05 20:15:00,9.312
2021-01-05 20:00:00,9.3091
2021-01-05 19:45:00,9.3077
2021-01-05 19:30:00,9.3143
2021-01-05 19:15:00,9.316
2021-01-05 19:00:00,9.318
2021-01-05 18:45:00,9.3239
2021-01-05 18:30:00,9.3271
2021-01-05 18:15:00,9.3271
2021-01-05 18:00:00,9.3288
2021-01-05 17:45:00,9.3275
2021-01-05 17:30:00,9.3229
2021-01-05 17:15:00,9.3148
2021-01-05 17:00:00,9.3139
2021-01-05 16:45:00,9.3217
2021-01-05 16:30:00,9.3124
2021-01-05 16:15:00,9.326
2021-01-05 16:00:00,9.3222
2021-01-05 15:45:00,9.3071
2021-01-05 15:30:00,9.3041
2021-01-05 15:15:00,9.3077
2021-01-05 15:00:00,9.3175
2021-01-05 14:45:00,9.3329
2021-01-05 14:30:00,9.3186
2021-01-05 14:15:00,9.3154
2021-01-05 14:00:00,9.3042
2021-01-05 13:45:00,9.3143
2021-01-05 13:30:00,9.3142
2021-01-05 13:15:00,9.311
2021-01-05 13:00:00,9.3144
2021-01-05 12:45:00,9.3159
2021-01-05 12:30:00,9.3297
2021-01-05 12:15:00,9.3259
2021-01-05 12:00:00,9.3203
2021-01-05 11:45:00,9.3247
2021-01-05 11:30:00,9.3338
2021-01-05 11:15:00,9.3307
2021-01-05 11:00:00,9.3348
2021-01-05 10:45:00,9.326
2021-01-05 10:30:00,9.3271
2021-01-05 10:15:00,9.3408
2021-01-05 10:00:00,9.3311
2021-01-05 09:45:00,9.328
2021-01-05 09:30:00,9.3383
2021-01-05 09:15:00,9.3376
2021-01-05 09:00:00,9.3387
2021-01-05 08:45:00,9.3393
2021-01-05 08:30:00,9.3407
2021-01-05 08:15:00,9.34
2021-01-05 08:00:00,9.3198
2021-01-05 07:45:00,9.3407
2021-01-05 07:30:00,9.3383
2021-01-05 07:15:00,9.3396
2021-01-05 07:00:00,9.3412
2021-01-05 06:45:00,9.3412
2021-01-05 06:30:00,9.3416
2021-01-05 06:15:00,9.3396
2021-01-05 06:00:00,9.3376
2021-01-05 05:45:00,9.3353
2021-01-05 05:30:00,9.3359
2021-01-05 05:15:00,9.3366
2021-01-05 05:00:00,9.3313
2021-01-05 04:45:00,9.3416
2021-01-05 04:30:00,9.3423
2021-01-05 04:15:00,9.3432
2021-01-05 04:00:00,9.342
2021-01-05 03:45:00,9.3413
2021-01-05 03:30:00,9.3412
2021-01-05 03:15:00,9.346
2021-01-05 03:00:00,9.3486
2021-01-05 02:45:00,9.3504
2021-01-05 02:30:00,9.3521
2021-01-05 02:15:00,9.3566
2021-01-05 02:00:00,9.3566
2021-01-05 01:45:00,9.3599
2021-01-05 01:30:00,9.3609
2021-01-05 01:15:00,9.357
2021-01-05 01:00:00,9.3333
2021-01-05 00:45:00,9.3573
2021-01-05 00:30:00,9.3351
2021-01-05 00:15:00,9.3568
2021-01-05 00:00:00,9.362
2021-01-04 23:45:00,9.3593
2021-01-04 23:30:00,9.3555
2021-01-04 23:15:00,9.356
2021-01-04 23:00:00,9.3558
2021-01-04 22:45:00,9.3537
2021-01-04 22:30:00,9.3506
2021-01-04 22:15:00,9.3529
2021-01-04 22:00:00,9.3475
2021-01-04 21:45:00,9.3485
2021-01-04 21:30:00,9.3472
2021-01-04 21:15:00,9.3455
2021-01-04 21:00:00,9.3456
2021-01-04 20:45:00,9.3495
2021-01-04 20:30:00,9.3494
2021-01-04 20:15:00,9.3509
2021-01-04 20:00:00,9.352
2021-01-04 19:45:00,9.3553
2021-01-04 19:30:00,9.3607
2021-01-04 19:15:00,9.3578
2021-01-04 19:00:00,9.3501
2021-01-04 18:45:00,9.3405
2021-01-04 18:30:00,9.3523
2021-01-04 18:15:00,9.3428
2021-01-04 18:00:00,9.32
2021-01-04 17:45:00,9.3145
2021-01-04 17:30:00,9.3185
2021-01-04 17:15:00,9.3149
2021-01-04 17:00:00,9.3197
2021-01-04 16:45:00,9.3202
2021-01-04 16:30:00,9.3295
2021-01-04 16:15:00,9.3263
2021-01-04 16:00:00,9.3216
2021-01-04 15:45:00,9.33
2021-01-04 15:30:00,9.3265
2021-01-04 15:15:00,9.32
2021-01-04 15:00:00,9.3144
2021-01-04 14:45:00,9.3074
2021-01-04 14:30:00,9.3037
2021-01-04 14:15:00,9.3037
2021-01-04 14:00:00,9.2924
2021-01-04 13:45:00,9.2926
2021-01-04 13:30:00,9.2786
2021-01-04 13:15:00,9.2791
2021-01-04 13:00:00,9.283
2021-01-04 12:45:00,9.2746
2021-01-04 12:30:00,9.2829
2021-01-04 12:15:00,9.2851
2021-01-04 12:00:00,9.2851
2021-01-04 11:45:00,9.2873
2021-01-04 11:30:00,9.2731
2021-01-04 11:15:00,9.2878
2021-01-04 11:00:00,9.2891
2021-01-04 10:45:00,9.2958
2021-01-04 10:30:00,9.278
2021-01-04 10:15:00,9.27
2021-01-04 10:00:00,9.2603
2021-01-04 09:45:00,9.257
