Date,Price
2021-01-07 06:30:00,1.7445
2021-01-07 06:15:00,1.7446
2021-01-07 06:00:00,1.7438
2021-01-07 05:45:00,1.7435
2021-01-07 05:30:00,1.7433
2021-01-07 05:15:00,1.7431
2021-01-07 05:00:00,1.7424
2021-01-07 04:45:00,1.7425
2021-01-07 04:30:00,1.7458
2021-01-07 04:15:00,1.7457
2021-01-07 04:00:00,1.7463
2021-01-07 03:45:00,1.7461
2021-01-07 03:30:00,1.7469
2021-01-07 03:15:00,1.747
2021-01-07 03:00:00,1.7475
2021-01-07 02:45:00,1.7462
2021-01-07 02:30:00,1.7456
2021-01-07 02:15:00,1.743
2021-01-07 02:00:00,1.7439
2021-01-07 01:45:00,1.7427
2021-01-07 01:30:00,1.7429
2021-01-07 01:15:00,1.7433
2021-01-07 01:00:00,1.7434
2021-01-07 00:45:00,1.7445
2021-01-07 00:30:00,1.7439
2021-01-07 00:15:00,1.7435
2021-01-07 00:00:00,1.743
2021-01-06 23:45:00,1.7441
2021-01-06 23:30:00,1.7446
2021-01-06 23:15:00,1.7449
2021-01-06 23:00:00,1.7459
2021-01-06 22:45:00,1.7463
2021-01-06 22:30:00,1.7467
2021-01-06 22:15:00,1.7459
2021-01-06 22:00:00,1.7466
2021-01-06 21:45:00,1.7468
2021-01-06 21:30:00,1.7456
2021-01-06 21:15:00,1.7455
2021-01-06 21:00:00,1.7456
2021-01-06 20:45:00,1.7459
2021-01-06 20:30:00,1.7454
2021-01-06 20:15:00,1.745
2021-01-06 20:00:00,1.7448
2021-01-06 19:45:00,1.7449
2021-01-06 19:30:00,1.7454
2021-01-06 19:15:00,1.7455
2021-01-06 19:00:00,1.7461
2021-01-06 18:45:00,1.7463
2021-01-06 18:30:00,1.7459
2021-01-06 18:15:00,1.7435
2021-01-06 18:00:00,1.7437
2021-01-06 17:45:00,1.7453
2021-01-06 17:30:00,1.7455
2021-01-06 17:15:00,1.745
2021-01-06 17:00:00,1.7444
2021-01-06 16:45:00,1.7442
2021-01-06 16:30:00,1.7448
2021-01-06 16:15:00,1.7439
2021-01-06 16:00:00,1.7464
2021-01-06 15:45:00,1.747
2021-01-06 15:30:00,1.7455
2021-01-06 15:15:00,1.7474
2021-01-06 15:00:00,1.747
2021-01-06 14:45:00,1.748
2021-01-06 14:30:00,1.7463
2021-01-06 14:15:00,1.7485
2021-01-06 14:00:00,1.7488
2021-01-06 13:45:00,1.748
2021-01-06 13:30:00,1.7482
2021-01-06 13:15:00,1.7476
2021-01-06 13:00:00,1.7481
2021-01-06 12:45:00,1.748
2021-01-06 12:30:00,1.7481
2021-01-06 12:15:00,1.7475
2021-01-06 12:00:00,1.7483
2021-01-06 11:45:00,1.7484
2021-01-06 11:30:00,1.7493
2021-01-06 11:15:00,1.7489
2021-01-06 11:00:00,1.7501
2021-01-06 10:45:00,1.7515
2021-01-06 10:30:00,1.751
2021-01-06 10:15:00,1.7514
2021-01-06 10:00:00,1.7513
2021-01-06 09:45:00,1.7518
2021-01-06 09:30:00,1.7511
2021-01-06 09:15:00,1.7501
2021-01-06 09:00:00,1.7506
2021-01-06 08:45:00,1.7508
2021-01-06 08:30:00,1.7512
2021-01-06 08:15:00,1.7518
2021-01-06 08:00:00,1.7513
2021-01-06 07:45:00,1.7511
2021-01-06 07:30:00,1.7518
2021-01-06 07:15:00,1.7526
2021-01-06 07:00:00,1.753
2021-01-06 06:45:00,1.752
2021-01-06 06:30:00,1.7549
2021-01-06 06:15:00,1.7552
2021-01-06 06:00:00,1.7552
2021-01-06 05:45:00,1.7557
2021-01-06 05:30:00,1.7565
2021-01-06 05:15:00,1.7576
2021-01-06 05:00:00,1.756
2021-01-06 04:45:00,1.7562
2021-01-06 04:30:00,1.7561
2021-01-06 04:15:00,1.7547
2021-01-06 04:00:00,1.7556
2021-01-06 03:45:00,1.7552
2021-01-06 03:30:00,1.7552
2021-01-06 03:15:00,1.7555
2021-01-06 03:00:00,1.7559
2021-01-06 02:45:00,1.7555
2021-01-06 02:30:00,1.7553
2021-01-06 02:15:00,1.7553
2021-01-06 02:00:00,1.7548
2021-01-06 01:45:00,1.7561
2021-01-06 01:30:00,1.7559
2021-01-06 01:15:00,1.7565
2021-01-06 01:00:00,1.7562
2021-01-06 00:45:00,1.756
2021-01-06 00:30:00,1.7551
2021-01-06 00:15:00,1.7553
2021-01-06 00:00:00,1.7549
2021-01-05 23:45:00,1.7548
2021-01-05 23:30:00,1.7541
2021-01-05 23:15:00,1.7544
2021-01-05 23:00:00,1.7547
2021-01-05 22:45:00,1.754
2021-01-05 22:30:00,1.7539
2021-01-05 22:15:00,1.7535
2021-01-05 22:00:00,1.7526
2021-01-05 21:45:00,1.7539
2021-01-05 21:30:00,1.7545
2021-01-05 21:15:00,1.7545
2021-01-05 21:00:00,1.7537
2021-01-05 20:45:00,1.7544
2021-01-05 20:30:00,1.7543
2021-01-05 20:15:00,1.7556
2021-01-05 20:00:00,1.7564
2021-01-05 19:45:00,1.7568
2021-01-05 19:30:00,1.7577
2021-01-05 19:15:00,1.7568
2021-01-05 19:00:00,1.7573
2021-01-05 18:45:00,1.7593
2021-01-05 18:30:00,1.7599
2021-01-05 18:15:00,1.7591
2021-01-05 18:00:00,1.7604
2021-01-05 17:45:00,1.7607
2021-01-05 17:30:00,1.7617
2021-01-05 17:15:00,1.7635
2021-01-05 17:00:00,1.7625
2021-01-05 16:45:00,1.7626
2021-01-05 16:30:00,1.7626
2021-01-05 16:15:00,1.7637
2021-01-05 16:00:00,1.7621
2021-01-05 15:45:00,1.7635
2021-01-05 15:30:00,1.7631
2021-01-05 15:15:00,1.763
2021-01-05 15:00:00,1.7638
2021-01-05 14:45:00,1.764
2021-01-05 14:30:00,1.7625
2021-01-05 14:15:00,1.7623
2021-01-05 14:00:00,1.7636
2021-01-05 13:45:00,1.7625
2021-01-05 13:30:00,1.7627
2021-01-05 13:15:00,1.7606
2021-01-05 13:00:00,1.761
2021-01-05 12:45:00,1.7608
2021-01-05 12:30:00,1.7605
2021-01-05 12:15:00,1.7592
2021-01-05 12:00:00,1.7595
2021-01-05 11:45:00,1.7587
2021-01-05 11:30:00,1.7574
2021-01-05 11:15:00,1.7579
2021-01-05 11:00:00,1.7603
2021-01-05 10:45:00,1.7615
2021-01-05 10:30:00,1.7601
2021-01-05 10:15:00,1.7616
2021-01-05 10:00:00,1.7609
2021-01-05 09:45:00,1.7611
2021-01-05 09:30:00,1.7623
2021-01-05 09:15:00,1.7635
2021-01-05 09:00:00,1.7638
2021-01-05 08:45:00,1.7645
2021-01-05 08:30:00,1.7642
2021-01-05 08:15:00,1.7634
2021-01-05 08:00:00,1.7652
2021-01-05 07:45:00,1.7638
2021-01-05 07:30:00,1.7642
2021-01-05 07:15:00,1.7649
2021-01-05 07:00:00,1.7652
2021-01-05 06:45:00,1.7659
2021-01-05 06:30:00,1.7659
2021-01-05 06:15:00,1.7645
2021-01-05 06:00:00,1.7632
2021-01-05 05:45:00,1.7635
2021-01-05 05:30:00,1.7637
2021-01-05 05:15:00,1.7651
2021-01-05 05:00:00,1.7654
2021-01-05 04:45:00,1.7651
2021-01-05 04:30:00,1.7659
2021-01-05 04:15:00,1.7678
2021-01-05 04:00:00,1.7674
2021-01-05 03:45:00,1.7672
2021-01-05 03:30:00,1.7677
2021-01-05 03:15:00,1.769
2021-01-05 03:00:00,1.7697
2021-01-05 02:45:00,1.7699
2021-01-05 02:30:00,1.7698
2021-01-05 02:15:00,1.7693
2021-01-05 02:00:00,1.7693
2021-01-05 01:45:00,1.7702
2021-01-05 01:30:00,1.7704
2021-01-05 01:15:00,1.7697
2021-01-05 01:00:00,1.7695
2021-01-05 00:45:00,1.7694
2021-01-05 00:30:00,1.7695
2021-01-05 00:15:00,1.7693
2021-01-05 00:00:00,1.769
2021-01-04 23:45:00,1.7706
2021-01-04 23:30:00,1.7708
2021-01-04 23:15:00,1.7702
2021-01-04 23:00:00,1.7699
2021-01-04 22:45:00,1.7695
2021-01-04 22:30:00,1.7686
2021-01-04 22:15:00,1.7684
2021-01-04 22:00:00,1.7677
2021-01-04 21:45:00,1.768
2021-01-04 21:30:00,1.7681
2021-01-04 21:15:00,1.7683
2021-01-04 21:00:00,1.768
2021-01-04 20:45:00,1.7687
2021-01-04 20:30:00,1.7702
2021-01-04 20:15:00,1.7707
2021-01-04 20:00:00,1.7717
2021-01-04 19:45:00,1.7705
2021-01-04 19:30:00,1.7709
2021-01-04 19:15:00,1.77
2021-01-04 19:00:00,1.7681
2021-01-04 18:45:00,1.7695
2021-01-04 18:30:00,1.7682
2021-01-04 18:15:00,1.7669
2021-01-04 18:00:00,1.7657
2021-01-04 17:45:00,1.7655
2021-01-04 17:30:00,1.7648
2021-01-04 17:15:00,1.766
2021-01-04 17:00:00,1.7661
2021-01-04 16:45:00,1.7657
2021-01-04 16:30:00,1.766
2021-01-04 16:15:00,1.7654
2021-01-04 16:00:00,1.7651
2021-01-04 15:45:00,1.7657
2021-01-04 15:30:00,1.7666
2021-01-04 15:15:00,1.7696
2021-01-04 15:00:00,1.7693
2021-01-04 14:45:00,1.7693
2021-01-04 14:30:00,1.77
2021-01-04 14:15:00,1.77
2021-01-04 14:00:00,1.7693
2021-01-04 13:45:00,1.7699
2021-01-04 13:30:00,1.7705
2021-01-04 13:15:00,1.7704
2021-01-04 13:00:00,1.7699
2021-01-04 12:45:00,1.7685
2021-01-04 12:30:00,1.7679
2021-01-04 12:15:00,1.768
2021-01-04 12:00:00,1.7675
2021-01-04 11:45:00,1.7679
2021-01-04 11:30:00,1.7683
2021-01-04 11:15:00,1.7696
2021-01-04 11:00:00,1.7701
2021-01-04 10:45:00,1.7709
2021-01-04 10:30:00,1.7712
2021-01-04 10:15:00,1.7722
2021-01-04 10:00:00,1.7716
2021-01-04 09:45:00,1.7727
2021-01-04 09:30:00,1.774
2021-01-04 09:15:00,1.7739
2021-01-04 09:00:00,1.7735
2021-01-04 08:45:00,1.7741
2021-01-04 08:30:00,1.7743
2021-01-04 08:15:00,1.7754
2021-01-04 08:00:00,1.7761
2021-01-04 07:45:00,1.7768
2021-01-04 07:30:00,1.7769
2021-01-04 07:15:00,1.7761
2021-01-04 07:00:00,1.7762
2021-01-04 06:45:00,1.775
2021-01-04 06:30:00,1.7755
2021-01-04 06:15:00,1.7747
2021-01-04 06:00:00,1.7749
2021-01-04 05:45:00,1.7744
2021-01-04 05:30:00,1.7743
2021-01-04 05:15:00,1.7748
2021-01-04 05:00:00,1.7743
2021-01-04 04:45:00,1.7742
2021-01-04 04:30:00,1.7732
2021-01-04 04:15:00,1.7731
2021-01-04 04:00:00,1.7748
2021-01-04 03:45:00,1.7759
2021-01-04 03:30:00,1.7764
2021-01-04 03:15:00,1.7786
2021-01-04 03:00:00,1.7788
2021-01-04 02:45:00,1.7759
2021-01-04 02:30:00,1.7737
2021-01-04 02:15:00,1.7741
2021-01-04 02:00:00,1.7733
2021-01-04 01:45:00,1.7733
2021-01-04 01:30:00,1.7734
2021-01-04 01:15:00,1.7747
2021-01-04 01:00:00,1.7741
2021-01-04 00:45:00,1.7739
2021-01-04 00:30:00,1.7716
2021-01-04 00:15:00,1.772
2021-01-01 23:45:00,1.7755
2021-01-01 23:30:00,1.7755
2021-01-01 23:15:00,1.7755
2021-01-01 23:00:00,1.7755
2021-01-01 22:45:00,1.7755
2021-01-01 22:30:00,1.7755
2021-01-01 22:15:00,1.7755
2021-01-01 22:00:00,1.7755
2021-01-01 21:45:00,1.7755
2021-01-01 21:30:00,1.7755
2021-01-01 21:15:00,1.7755
2021-01-01 21:00:00,1.7755
2021-01-01 20:45:00,1.7755
2021-01-01 20:30:00,1.7755
2021-01-01 20:15:00,1.7755
2021-01-01 20:00:00,1.7755
2021-01-01 19:45:00,1.7755
2021-01-01 19:30:00,1.7755
2021-01-01 19:15:00,1.7755
2021-01-01 19:00:00,1.7755
2021-01-01 18:45:00,1.7755
2021-01-01 18:30:00,1.7755
2021-01-01 18:15:00,1.7755
2021-01-01 18:00:00,1.7755
2021-01-01 17:45:00,1.7755
2021-01-01 17:30:00,1.7755
2021-01-01 17:15:00,1.7755
2021-01-01 17:00:00,1.7755
2021-01-01 16:45:00,1.7755
2021-01-01 16:30:00,1.7755
2021-01-01 16:15:00,1.7755
2021-01-01 16:00:00,1.7755
2021-01-01 15:45:00,1.7755
2021-01-01 15:30:00,1.7755
2021-01-01 15:15:00,1.7755
2021-01-01 15:00:00,1.7755
2021-01-01 14:45:00,1.7755
2021-01-01 14:30:00,1.7755
2021-01-01 14:15:00,1.7755
2021-01-01 14:00:00,1.7755
2021-01-01 13:45:00,1.7755
2021-01-01 13:30:00,1.7755
2021-01-01 13:15:00,1.7755
2021-01-01 13:00:00,1.7755
2021-01-01 12:45:00,1.7755
2021-01-01 12:30:00,1.7755
2021-01-01 12:15:00,1.7755
2021-01-01 12:00:00,1.7755
2021-01-01 11:45:00,1.7755
2021-01-01 11:30:00,1.7755
2021-01-01 11:15:00,1.7755
2021-01-01 11:00:00,1.7755
2021-01-01 10:45:00,1.7755
2021-01-01 10:30:00,1.7755
2021-01-01 10:15:00,1.7755
2021-01-01 10:00:00,1.7755
2021-01-01 09:45:00,1.7755
2021-01-01 09:30:00,1.7755
2021-01-01 09:15:00,1.7755
2021-01-01 09:00:00,1.7755
2021-01-01 08:45:00,1.7755
2021-01-01 08:30:00,1.7755
2021-01-01 08:15:00,1.7755
2021-01-01 08:00:00,1.7755
2021-01-01 07:45:00,1.7755
2021-01-01 07:30:00,1.7755
2021-01-01 07:15:00,1.7755
2021-01-01 07:00:00,1.7755
2021-01-01 06:45:00,1.7755
2021-01-01 06:30:00,1.7755
2021-01-01 06:15:00,1.7755
2021-01-01 06:00:00,1.7755
2021-01-01 05:45:00,1.7755
2021-01-01 05:30:00,1.7755
2021-01-01 05:15:00,1.7755
2021-01-01 05:00:00,1.7755
2021-01-01 04:45:00,1.7755
2021-01-01 04:30:00,1.7755
2021-01-01 04:15:00,1.7755
2021-01-01 04:00:00,1.7755
2021-01-01 03:45:00,1.7755
2021-01-01 03:30:00,1.7755
2021-01-01 03:15:00,1.7755
2021-01-01 03:00:00,1.7755
2021-01-01 02:45:00,1.7755
2021-01-01 02:30:00,1.7755
2021-01-01 02:15:00,1.7755
2021-01-01 02:00:00,1.7755
2021-01-01 01:45:00,1.7755
2021-01-01 01:30:00,1.7755
2021-01-01 01:15:00,1.7755
2021-01-01 01:00:00,1.7755
2021-01-01 00:45:00,1.7755
2021-01-01 00:30:00,1.7755
2021-01-01 00:15:00,1.7758
2021-01-01 00:00:00,1.7752
2020-12-31 23:45:00,1.7748
2020-12-31 23:30:00,1.7733
2020-12-31 23:15:00,1.7738
2020-12-31 23:00:00,1.7726
2020-12-31 22:45:00,1.7734
2020-12-31 22:30:00,1.7732
2020-12-31 22:15:00,1.7735
2020-12-31 22:00:00,1.7745
2020-12-31 21:45:00,1.7749
2020-12-31 21:30:00,1.7746
2020-12-31 21:15:00,1.7739
2020-12-31 21:00:00,1.7736
2020-12-31 20:45:00,1.7741
2020-12-31 20:30:00,1.7729
2020-12-31 20:15:00,1.774
2020-12-31 20:00:00,1.7734
2020-12-31 19:45:00,1.7736
2020-12-31 19:30:00,1.7734
2020-12-31 19:15:00,1.7726
2020-12-31 19:00:00,1.77
2020-12-31 18:45:00,1.7698
2020-12-31 18:30:00,1.7713
2020-12-31 18:15:00,1.7709
2020-12-31 18:00:00,1.7648
2020-12-31 17:45:00,1.7652
2020-12-31 17:30:00,1.7674
2020-12-31 17:15:00,1.7669
2020-12-31 17:00:00,1.764
2020-12-31 16:45:00,1.7648
2020-12-31 16:30:00,1.7651
2020-12-31 16:15:00,1.7655
2020-12-31 16:00:00,1.7643
2020-12-31 15:45:00,1.7653
2020-12-31 15:30:00,1.768
2020-12-31 15:15:00,1.769
2020-12-31 15:00:00,1.7667
2020-12-31 14:45:00,1.7671
2020-12-31 14:30:00,1.7658
2020-12-31 14:15:00,1.7632
2020-12-31 14:00:00,1.7652
2020-12-31 13:45:00,1.7651
2020-12-31 13:30:00,1.7675
2020-12-31 13:15:00,1.7678
2020-12-31 13:00:00,1.7711
2020-12-31 12:45:00,1.773
2020-12-31 12:30:00,1.7718
2020-12-31 12:15:00,1.773
2020-12-31 12:00:00,1.7741
2020-12-31 11:45:00,1.7734
2020-12-31 11:30:00,1.7743
2020-12-31 11:15:00,1.7731
2020-12-31 11:00:00,1.7718
2020-12-31 10:45:00,1.7721
2020-12-31 10:30:00,1.7702
2020-12-31 10:15:00,1.7715
2020-12-31 10:00:00,1.771
2020-12-31 09:45:00,1.7703
2020-12-31 09:30:00,1.7688
2020-12-31 09:15:00,1.769
2020-12-31 09:00:00,1.7695
2020-12-31 08:45:00,1.7695
2020-12-31 08:30:00,1.769
2020-12-31 08:15:00,1.7686
2020-12-31 08:00:00,1.7684
2020-12-31 07:45:00,1.768
2020-12-31 07:30:00,1.7686
2020-12-31 07:15:00,1.7679
2020-12-31 07:00:00,1.7684
2020-12-31 06:45:00,1.7677
2020-12-31 06:30:00,1.7683
2020-12-31 06:15:00,1.7688
2020-12-31 06:00:00,1.769
2020-12-31 05:45:00,1.7691
2020-12-31 05:30:00,1.7699
